,low_comment_True
502,노아는 아무것도 모르지만 얘들이 어딘가 꼬였다는걸 알고있어서 이런 큰그림을 그린게 확실하다. 애초 오수는 지훈이가 자기성에 안차서 그런게 아니라 자존감이 너무 낮아서 오히려 자기같은애는 지훈이랑 안어울린다고 스스로 선을 그은거잖음. 민호는 팬심인데 그걸 사랑으로 착각하는 중인거고 지훈이는 이성으로서 호감을 가지는데 그걸 자기비하적인 마인드 때문에 눈치 못채는거고. 오수가 지훈이에게 직접 물어봐서 지훈이의 반응에 따라 본인이 어떤 마음을 가지고 있는지를 안다면 나중에 그 소개팅 취소하고 지가 고백을 하던 뭘 하던 아니면 나중에 존나 후회는 하겠어도 더이상 지훈이 마음 들었다 놨다 하진 않겠지. 이러다가 풀릴거 같긴 한데 오수는 지 마음이 너무 불편한거 다 털어놓고 지훈이한테 고백하거나 민호에 대한 자기 마음 정리하고 보배랑 민호랑 이어지던 할것같은데.
503,시작부터 커플 폭발ㅋㅋㅋ 이건 필시 짝짓기나 할 것이지 데이트 할 시간이 어딨냐는 양형의 분노입니다.
504,"다이스를 4부부터 봐왔고 지은이라는 캐릭때문에 입문하게된 팬입니다. 쿠키는 산적이 없어 진도나 분량엔 불만이 없지만 요즘들어 지은이의 캐릭터성이 한순간에 무너진것같아 아쉬워 푸념 한번 남겨봅니다.. 
몇주전부터 지은이가 갑자기 미오를 도와주는 선한 캐릭터로 변해서 베댓에서도 말이 많던걸로 압니다. 작중에선 다수가 한사람을 괴롭히는걸 보기 싫다고 하였지만 지은이는 이미 다수한테 쫓기는 동태를 사냥하려 했으며 불과 전날밤에 동태를 몹으로 대하겠다며 적으로 돌아선 인물이었죠. 
이때까지만 해도 자기 주관이 뛰어나고 부숴진 인생을 되돌리기 위한 다이스를 향한 욕망이 남달랐기 때문에 착하기만한 미오,은주하고 차별화된 매력을 뽐냈었다고 봅니다. 동태하고도 몹과 동료의 경계선에서 위태위태했던 관계가 매우 참신했기에 더욱 마음에 들었죠. 
그러나 요근래 몇주간의 전개에서 지은이의 캐릭터성이 많이 희석된 것 같아 아쉽습니다."
505,"저 친구들이 나중에 ""나 쟤 저렇게 빡친거 첨봐"" 이러는 듯한 에피소드 분명 있을텐데 기대된다"
506,공장왕 초반부 보면 돈 다써도 한달에 백만원정도는 남는다고 되어있고 학자금대출 때문에 일하는거라 아끼면서 살던데 왜 지금은 한달에 150만원씩 흥청망청 쓰는 놈팽이가 되어있을까? 다좋은데 캐릭터는 좀 일관되게 그립시다
507,저렇게 ㄹㅇ 죽으면 김기명이 박지호 죽이는 스토리는 어떨까요?
508,반나절동안 마약을 뿌린거 같네요... 그리고 지로는 더 강한 마약도 이겨낸 경험이 있기에 영향을 받지 않고 이 전투에서 공을 세우게 될 것 같습니다.
509,웹툰 올 퀄은 아닌데? 블로그같은곳에 올리시면 인기많을듯
510,악덕의 상자=냉장고 입니다 모르는분들 계실거 같아서...
511,안녕하세요 작가님 항상 작품 잘 보고 있어요! 항상 작가님 작품을 보며 느끼는 점이 많았어요 앞으로도 신념 잃지 마시고 좋은 작품 연재해주세요! 항상 응원해요 작가님!♡
512,해효 아빠패고 최강패륜 강해효로 재연재갑시다
513,롯카츄냐 ㅋㅋㅋㅋ 자기 이름 말하면서 공격하게 ㅋㅋㅋㅋㅋㅋ
514,저도 작가님 빨리 컴백 하셨으면 좋겟고 특영반 좋아하고 별점테러 악플 같은건 달아 본 적이 없지만요 솔직히 여기서 쬐끔 늦었다고 하시는 분들 이 맘때 작가님이 지각 하셨던 시간이 쬐끔은 아니자나요;;;
515,"마왕: 담배 한대 피시죠
노벨: 아 이거 좋은데요?"
516,이작가는 자극적으로 그리는거에 천부적인ㅇ재능이 있음 19걸고 가면 역대급작품 나오겠다
517,근데 내가 남자 엄마라도 저렇게 반응할 거 같은데...?
518,"안녕하십니까?
저는 쿠키 공장에서 일하고 있는 청년입니다.
근 1년째 오직 쿠키만 굽고 있네요.
급여는 거의 꼬박꼬박 나오지만 만족스럽지 못할 정도의 급여를 받고 있는 실정이고요.. 퇴사하고 싶지만  지금까지 구워온 쿠키가 아쉬워서  퇴사를 못하고있네요.
앞으로 구울 수 있는 쿠키가 4주정도 남아있네요..  4주 안에 제대로된 급여를 받을 수 있길 간절히 바래봅니다."
519,분량이를 주십시오 장인어른!!
520,항상 한국 대통령은 배신하지 ㅋㅋ
521,"돼갈량이 정말로 엘을 버리고 가는건지, 코추 앞에서만 그런척 한건지는 불확실합니다. 그러나 이번화는 정말 소름돋는 에피소드네요. 믓시엘."
522,바스코 불쌍해 바스코퇴학하면 저 바로 자퇴함
523,ㅋㅋㅋㅋㅋㅋ 그럼 이사 죽는거 그 맹인데바림 알고있었겠네 ㅋㅋㅋㅋ 바로 두부 먹으러 튄거였구만
524,"중간에 재열이 지갑주니까 좋아하는것봐
개귀엽네ㅋㅋㅋㅋ"
525,8우주의 주인과 최강의 퀑 둘이서 네카르에서 그 찌질이 짓을 한거야?
526,오늘의 내용 한 컷 정리=어떻게 이겼어 아리야?
527,중요한점인데 박무봉은 사실 팔이 다 있었단거 밑에서4번째 컷보면 됨
528,아 원래 터트리는게 능력이였지
529,"200원이든 400원이든 아깝다는 사람들은 이게 왜 아까운지 알려준다. 예로들어서 네가 갑자기 피자가 미친듯이 땡겨. 피자가 너무 먹고 싶어. 그래서 피잣집에 가서 피자를 한판 주문했다? 피자 만드는데 1시간 걸린대. 아 좀 오래걸리긴 하지만서도 빨리 그 피자를 먹기 위해서 애타는 마음으로 열심히 기다렸어. 근데 피자가 나왔는데 아니 세상에, 웬 시키지도 않은 짜장면이 뜬금없이 나오더니 ""짜잔!! 만우절 컨셉이에요!!"" 이런다 생각해봐. 짜장이 아무리 맛있어도 ㄹㅇ 개빡치긴 하잖아."
530,코반이 거기에요 하데스가 커플한테 정의 실현한 행성
531,남의 눈에 눈물나게하면 본인 눈에 피눈물 나요 작가님~
532,거의 촉수물 ;; ㄷㄷ
533,"이번화는 10점이 별점테러다 
이번화는 10점이 별점테러다"
534,지한 : 반장 피해~!!! 연속 마법 화살...  (그리고 반장은 피해지 못했다고 한다...)
535,아직 우리 주적은 북한
536,지은누나 입술옆에 점 찍는것좀 빼먹지마쇼.. 파오후 캐릭터들은 그리 정성스레 그리면서 정작 주인공들은 대충 그리네
537,"은주가 레비테이션을 가졌으니 요한인가 저놈을 쫓아올것 같습니다. 동태는 무영과 쇼부를 칠 것 같고 은주는 요환으로부터 동태를 지킬것 같네요 
지상에있는 대웅과 지은이도 원래 토너먼트에서 붙을 예정이었으니 여기서 싸울수도 있겠슴니다. 그러나 세팀다 주인공측 전력이 열세인데 어떻게 진행될지"
538,"팩트)미오는 지금 정의롭게 싸우다 희생당한척 감성팔이하지만 덩치부하들을 시켜 힘 없던 지은을 향해 [PK 시키거나 심심하면 데리고 노라]고 명령한 전과가 있다. 동태를 비롯한 주인공 입장에서만 정의로워 보이지 사실 다른 다이서들이랑 별반 다르지 않다. 
자기랑 동태만 잘되면 장땡"
539,정신못차렸네 기안님 그런사건이 있었으면 오바마편은 1로 끝내셨어야지 2까지오네
540,"""죽어"" 하고선 공격하길래 법사들이 죽을 줄 알았는데, 지팡이가 죽었음. 정말 무섭다!!! ㄷㄷㄷ"
541,"자,자,작가님 이,이렇게 하,하실거면 쉬,쉬,쉬고 오는게 조,좋겠습니다..! 푸,푸흡, 키킥..!"
542,백양한테 요력사용법을 배워야 되니까 그런것같은데 한화 통째로 환술이었다는건 좀 심하지않았나 싶네요 ㅎㅎ;;
543,아기는  아빠와  엄마  둘이  같이  책임져야하는거  아닌가요? 임신을  했다면  아기아빠와 같이  의논을  하는게  정답인것같습니다. 혼자만의  아기는  아니니까요.
544,설마 이걸 결제한 사람이있을까 해서 왔는데 있었네ㅋㅋㅋㅋㅋ 오 my good kimchi
545,네이버 댓삭 개소름돋아 ㄷㄷ
546,미국을 한 번 공격하는것 보다는 미국이 앞으로 계속 공격받게될 명분을 다른 조직에게도 만들어주는거잖아.....무고한 민간인을 학살했다고
547,그 쓰레기 같은 톡방에서 잘사세요~ㅋㅋ
548,근데 낙태안하고 애 열심히 키운다고 발끈하는거면 ㄹㅇ정신상태에 문제 있는거아니냐
549,"다른 웹툰이었으면 단군의 환약을 산 것과 그 효능이랑 스승님이 산 것을 방에서 대화하면서 10컷 안에서 뺐을 스토리인데
이 웹툰은 약 하나 먹는데 한 화를 전부 뺌

하다못해 넵, 그래요를 적기 위해서 한 컷을 더 그렸다거나 건물 밖에 나온걸 표현하려고 아무의미 없는 컷을 더 그린것만 없었으면 약먹은거 10분은 더갔겠지
다음 화는 약먹은거 1시간 보내면서 용궁 설정 푸느라 스토리 진도는 1도 안나갈게 너무 뻔하다"
550,'욕망'만 보자면 동태가 무영이보다 한 수 위인것은 맞지 않을까요? 무영은 자신의 염원을 위해서 친구들을 끌어들이고 직접 처형했습니다. 하지만 태빈이를 제외하면 진짜 친구로 보지 않았다는것을 통해 결국 진짜 친구만큼은 죽이지 못했던게 무영이었죠. 하지만 동태는 첫사랑에다가 끝까지 자신을 지켜주었던 은주를 죽이려고 했고 친구?일진 모르지만 은인인 지은이까지 죽이려고 했었죠. 복합적인 요소 배제하고 최후의 다이스를 쓰겠다는 욕망만큼은 동태가 한수위이고 인격적인 부분에서 바닥을 치는 싸이코적인 모습도 동태가 무영이보다 한 수 위라고 봅니다.
551,반장이 레벨업하다 죽어도 됩니다만
552,"캣냅에서 무녀들이 교차공간에서 다른 평행우주로 심방나갈때 자기도 모르게 눈물이 난다고 했다.
강화퀑이 물리적 오류의 극한까지 가는거랑 관계가 있을랑가"
553,걍 사탄이랑 진모리랑 손잡고 지구 파괴하는것고 나쁘지 않을듯
554,"지금 제일 부러운사람은
쿠키를 안구운 사람이다....."
555,?2연속 베댓이네 개꿀
556,근데 진짜 이 그림체로 성공 안한게 이상한거야. 진짜 그림체 작가님 딴 글 작가님 찾아가세요 제발 당신이 성공할수 있는 길이에요. BL해도 성공 할거고 그냥 로맨스만 해도 성공할거고 제대로 된 글 작가 찾아가세요 제발 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ. 이 글 제발 배댓 만들어주세요 작가님 이거 꼭 봐야 되요.
557,만화를 뒤집어 놓어셨다
558,고아에 아싸에 거지에 리벤지포르노에 안좋은건 다 모아놓은 캐릭터
559,??? 남친 보살인거야 답답한거야
560,진심인데 그 그림실력 저 주시면 안되나요
561,"100% 확실한 내용 예상) 은주 계획대로 동태와 한 공간에 갇힌 지은이. 식칼로 찌르려는 순간 / 
지은 : 흑흑 동태야 다시 예전으로 돌아가면 안될까? ㅜㅜ  / 
동태 : 누나 ㅜㅜ 은주야 ㅜㅜ"
562,그나마 마음을 열여줬던 동태미오에게 배신당한 지은이가 동태를 설득하겠다는 계획에 몸던지려는 이유가 뭘까요? 미오를 찌른것에 대한 빚? 아님 잠시나마 자기에게 친절했던 동태를 잃지 못하는 걸까요? 대웅이보다 훨씬 약한데 큰 리스크를 감수라려 하네여
563,아들에게 보낸 이유는 자신이 가이린에게 뜨거운 밤을 선사해주지 못해서인걸로 압니다. 이제 자신이 머리에박힌 사물퀑 빼고 예전보다 좋아졌으니 아들한테 안보낼거라고 함
564,신의탑 작가 발톱만큼만 닮아라
565,"오늘의 내용 : 흔들어라
일베충 반응 : 이기야"
566,매주 볼때마다 헬조선 게임 하는 기분임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ맨날 노가다 퀘스트 사냥 노가다 퀘스트 사냥 원패턴이야
567,근데 보통 처음보는 사람한테 애는 안맡기지않나ㅋㅋ
568,이 전개면 남친도 우리 잘 키워보자! ㅇㅈㄹ 하는거 아니겠지
569,아니 근데 주시은이 잘못한거 맞잖아ㅋㅋㅋ
570,근데 며칠전만해도 '예쁜사랑하세요' 하셨던분이 저러는게 말이 안된다고 생각하는데 어떤 한 관종이 사칭하고 톡방들어온게 아닌가 고려해봄 만약 그런거라면 작가님 죄송합니다
571,일진했던 습관 못버렸네 쟤
572,근데 솔직히 아무리봐도 두번봐도 주인공이 좀 억울하긴 함 
573,배뎃아 고맙다 이거보고 내일 만들어 먹는다
574,걍 지은이 누나 과거내용이나 그려줘.. 지각해도 칭찬 받기 가능하다.
575,"돈카츠 만드는법
재료:돼지고기 안심(돈카츠용), 빵가루, 밀가루, 계란, 갈은사과, 갈은양파, 허브솔트(소금,후추), 소주 or 청주, 우유

1.소금,후추를 솔솔 뿌리고 청주나 소주를 뿌려줍니다.

2.갈은사과,양파 그리고 우유도 조금넣고 버무려줍니다.(우유는 약간 자작한 느낌이 날 정도로)

3.30분 숙성뒤 밀가루 챱챱, 계란물 챱챱, 빵가루 챱챱

4.기름을 넉넉히 넣고 약중불에서 튀겨줍니다. (풍덩 담그면  기름분수를 보게됩니다)

5.돈카츠 완성!

돈카츠 소스 만드는법
재료:간장 1/3컵 (종이컵), 우스터소스 1컵, 청주 반컵, 양파 반개, 설탕 100g, 다진마늘 20g, 말린 양송이버섯 1줌, 말린 양송이버섯 불린물 반컵, 버터약간

1.양송이버섯 불린물에 우스터소스, 간장, 청주, 설탕, 다진마늘 투척

2.버터를 두른 팬에 양파를 넣고 볶다가 말린 양송이버섯을 넣고 계속 볶습니다.

3.달달하고 고소한 향이 올라오면 소스를 붓고 중약불에 졸여줍니다.

4.완성!"
576,반장이 보스여서 반장 잡았으면
577,"근데 그 초코바 무게쟤는 능력가진 엑스트라는 어디갔죠?
프를로그 까진 꾸준히 나오던데........걔도 좀 참신했는데....."
578,"지방사는데요 요즘들어 사투리쓴다고 뭐라 그러는애들많은데
웹툰보고 한마디만 할게요
사투리는 그냥 사투리지 표준어 아니라서 신기하게 쳐다보지 말아주세요
님들이 표준어 그냥 쓰듯 우리도 그냥 태어날때부터 쓰던말이에요"
579,걍 작가가 웹툰연재인생끝내려고하나봄
580,"간장 게장 레시피
싱싱한 게에 생강, 마늘, 통고추를 넣고 간장을 부어 장맛이 들면 먹는 음식이다. 따뜻한 밥과 함께 비벼 먹는다.

재료 및 분량 (4인분)

암꽃게 4마리(220~250g)

간장물 국간장 2컵(500ml), 진간장 4컵(1L), 물 12컵(3L), 청주 ⅓컵, 통생강 1쪽(25g), 마른 고추 2개(6g), 깐 마늘 10개(50g), 물 2컵(500ml)

준비하기

1. 꽃게는 솔로 문질러 씻어서 물기를 뺀다.

2. 큰 통에 꽃게를 배가 위로 오도록 담는다.

3. 건고추는 반 자르고, 통마늘과 생강은 저며서 썬다.

만들기

1. 꽃게를 넣은 통에 마른 고추, 마늘, 생강을 얹은 다음 떠오르지 않게 접시로 누르고 간장물을 부어 하룻밤 놔둔다.

2. 냄비에 간장물을 쏟고 물 2컵을 섞은 다음 끓여서 차게 식힌다.

3. 식힌 간장을 꽃게통에 다시 붓고 하루 두었다가 먹는다.


"
581,나천재입니다. genius요.
582,김미루 볼수록 매력있네
583,"진짜 웹툰작가라면 자기만의 고집도 있어야 되겠지만. 질질쳐끄는 전개는 본인웹툰에 있어서도 큰 오점이자 단점인데,
 웹툰 봐주는 독자들이 없으면 작가도 없는것이거늘 좀 유연한 사고로 피드백 좀 수용했으면 좋겠다.

노블레스도 끝까지 핵엔딩이 처음부터 다 짜놓은거라느니 자존심 옹고집 부리고 절대 독자 피드백 수용안하니..."
584,역시 창주답다 한달만에 말아먹었어ㅋㄱㅋ
585,"수육 간단하게 하는법
1.맥주를 끓인다.
2.해동된 고기를 넣는다(단, 얼어있는 고기는 안 된다!).
3.20분 정도 삶는다.
4.20분이 지나면 고기를 꺼낸다.
5.기호에 따라 부추, 마늘 등과 같이 놓는다."
586,1등배댓 평생 솔로
587,이번편 제목 바꾸세요 갓독[4/20]
588,제가 베댓이 된다면 반장으로 써 국산 브랜드 맘스터치를 쏘겠습니다
589,"그림작가님 부당한 대우를 받고 있다면 다음화에
진모리를 그려주세요"
590,지은언니 은주한테 매달려 가는거 뻘하게 귀엽닼ㅋㅋㅋㅋㅋ 진짜 은주가 저렇게 달고 갈줄은 몰랐어
591,진짜 그런거 물어보지말고 분량 늘리는법 배워와라
592,"형석이 형제들... 첨엔 나쁜줄 알았는데... 아니었구나...  미안해 괜한 오해였어
셋 다 진짜 서로를 위해주는 마음 본받을게!"
593,엄마니까 저렇지 남친은 손절해도 인정이다
594,저... 내일 생일이거든요... 축하 한번 해주실 수 있을까요..?
595,기억 못하시는 분들 바람이 아빠가 청룡입니다.
596,저거 독수리오형제 짤이자나ㅋㅋㅋㅋㅋㅋㅋ
597,산악가들의 여정을 그려낸 등산웹툰이라 생각하면 보기 좀 편함
598,"요즘에 덴마 옛날 스타일이 다시 나오는 것 같다. 대가문의 전쟁같은 스케일이 큰 게 아니더라도, 깨달음과 감동이 있는... 너무 좋다."
599,꼬북이야 귀엽네 ㅋ
600,"작가님 솔직히 재미는 있습니다.
근데 왜 독자들이 빡지는줄 압니까??
뭣도 아니면서 오수를 신격화 한다는 겁니다.
왜 저런애를 참 좋고 따뜻하고 마음이 편해지는 인물
이렇게 만드세요?
좀 앞뒤가 안맞아요.
눈치는 드릅게 없고 얼굴은 ㅅㅌㅊ는데 키가 ㅎㅌㅊ
면상이랑 키면 무조건ㅇㅋㄷㅋ
어?근데 지훈이는 아까운데 아 배알꼴리는데?
장난함?"
601,"북한은 주적이고 경계해야할 대상은 확실함.
근데 이 웹툰을 북한 미화라고 하면서 깔꺼는거면 은밀하게 위대하게는 어떻게 설명해야하냐?"
602,"가츠쉑 해맑게
우리 대화패턴입니다 ㅎ
ㅇㅈㄹㅋㅋㄱㅋㅋㅋㄱㄲ"
603,나는 봤어 공자 얼굴의 홍조를..!! 오늘부로 샵공자 주식을 산다
604,"반장을 삭제하시겠니까?
1yes
2 좋다
3 good"
605,"성요한 vs 준구
빅매치네.

성요한은
바스코의 하드웨어
종건의 소프트웨어
김기명의 죽일각오
거기다가 재능까지있으니
해볼만할듯
"
606,재밌어.... 영화보는것 같다.
607,내가 배뎃이 되면 쌈바추는 사람 옆에서 삼겹살 구워 먹는 사람한테 쌈싸먹여줌
608,"여주는 저렇게 행동하는거 보면 자기가 골드핑거인거 들키길 원하는 사람인거같아,,,, 제발 생각하고 행동했으면,,.."
609,비치
610,"커피우유신화 1화를 보면 이 그림작가도 성의있고 알찬 그림을 그릴 수 있다는게 보이는데, 지금은 정말 귀찮아 죽겠다는 식의 작업퀄과 작업 속도를 보여준다. 그림작가의 이 항의에 가까운 퀄리티와 마감력을 보면서 난 네이버 철밥통 공무원의 위력을 느낀다. 하지만 철밥통인만큼 이 사람은 앞으로도 계속 보이겠지. 좋은 스토리작가가 선뜻 야심작을 내어줄만한 그런 탄탄한 관계가 있고, 애들 의상이 다 시장에서 파는 할매옷 같아도 그저 아리가 귀엽다며 빨아주는 팬이 있고, 왜 늦는거 가지고 뭐라그러냐며 인권운동 하시는 분들이 있기 때문에. 나는 저 작가의 그림에서 보이는 (아리 얼굴 빼고) 작업이 싫어 죽겠다는 부정적인 에너지 때문에 힘이 빠진다. 그냥 킬더킹 콘티 버전으로 보고 싶다. 그게 눈도 편하고, 흐름도 편하고, 마음도 편하다."
611,오늘화 요약 : 현우현우현우
612,"필수 재료 소갈비(800g) 
고기 밑양념 대파 잎(1대),  배(1/2개), 밤(8개), 당근(1/2개), 무(150g), 은행(8개) 
양념 통후추(0.3), 청주(3)
양념장 간장(8)+설탕(3.5)+다진 파(3)+다진 마늘(2)+깨소금(0.5)+참기름(1)+후춧가루"
613,지으니가 어떤 의도였는진 몰라도 자기얼굴로 나타나것이 미오에겐 충분히 신경쓸만한 사항인건 맞지만.. 자기한테 시비걸고 죽이려한 미오에게 아무말도 하지않고 치료의 손길로 다가와 준 지은이와 지금 식칼들고 다짜고짜 따지기부터 시작하는 미오를 비교하면 둘의 인성 차이가 ㅋㅋ;
614,"작가님 분량 늘려주셔서 감사합니다!
최근에 분량 줄어들어서 아쉬웠는데 다시 분량 늘려주시고 전개도 빨리 빼주신점 정말 감사해요!!"
615,"낚지볶음 레시피
1. 낙지는 밀가루로 비벼 씻은 후 다시 소금으로 
씻어 먹기 좋은 길이로 썰어둔다. 

2. 양파, 풋고추, 대파, 당근은 비슷한 크기로 채친다. 

3. 물에 마늘, 청주, 통후추를 넣고 끓으면 낙지를 넣어 데친다. 

4. 데친 낙지에 고추장, 고추가루 등 분량의 양념을 넣고 20분간 재워놓는다. 

5. 달군 팬에 식용유를 두르고 다진 마늘 2큰술과 생강즙 1큰술을
 넣은 후 ②의 양파, 당근을 넣고 살짝 볶는다. 

6. ④의 낙지를 ⑤에 넣고 센 불에서 볶다가 채친 풋고추와 파를 넣고 마무리한다.

* Point 
낙지는 마늘을 넣고 끓이다가 데쳐야 잡냄새가 
사라지고 낙지의 진액이 빠져나가지 않는다. 
냉동 낙지를 이용할 때는 껍질을 벗겨 사용해야 질기지 않다
"
616,좋아요 누르면 기말 평균 95.5점 이상맞거나 남(여)친 생김
617,정확히 35컷에서 동태와 미오가 데이트하는거 지은이가 숨어서 지켜보고있네요. 은혜도 모르는 발암커플 걍 쳐죽여서 다이스 뺏었으면 좋겠습니다.
618,영웅이 화풀이한다...진짜 가해자랑 구분을 못하네
619,알림울리자마자놀라서왓다 손
620,베댓님 자연스럽게 203호 저승사자 까지 까시네
621,망고는 식물인간이야?
622,"몇년후
슈 : 아그네스 님이 내게 맡기셨어.. 내가 쓰게될줄은 몰랐지만.."
623,저러면 여자가 사귈거라 생각하나?
624,와... 오늘은 좀 너무했다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 별점 낮게 주는거 이해 못하는 사람인데 오늘은 저 별점이 이해가 된다 
625,나 잠수탄다 태성이 같이될거다 나 찾지마라
626,현실에서도 능력을 사용할 수 있다라고 헀는데. 꿈과 현실이 동화되면서 꿈에서 죽으면 현실에서도 죽는다를 조심스레 예측을...
627,아니그냥유나랑사겨라 ㅡㅡ;
628,분량너무적긴함
629,아니 근데 지가 원래 진모리 인데 진모리상태로 오래 못버티겠다는건 뭐지..오히려 힘 없으면 단모리 상태 유지하기 힘든게 정상 아니냐.
630,제가 안볼거라 생각하지 마시고 피드백 계속 달아주세요 -> 다 보고 있으니까 욕은 달지 마세요 이뜻이네 ㄷㄷㄷㄷㄷㄷ
631,솔직히 보배는 오수랑 민호 이어줄려고 한 행동이 문제였지 인성은 제일 갑인 거 같음 걍 보배랑 지훈이빼고 다 인성 난리났음
632,"작가님 그래도 힘내세요.
소재 신선했어요. 앞으로는 그냥 연재일에 볼게요.
별점도 10점 드리구요. 홧팅"
633, 이거 보배가 혼자 저러는거 나중에 오수가 알면 더 상처커질거 같은데
634,ㅋㅋㅋㅋㅋ테이 순수하게 생겼다고들 하셨는데 빌어먹을!이래ㅋㅋㅋㅋㅋㅋ
635,두치는 무적이다
636,ㅋㅋㅋㅋㅋ다들 반응 귀엽네ㅎㅎ 글구 피치 독해져서..! 성공할거야!! 이럴 줄 알았는데 오빠 다시 내껄로 만들거야라니 워우 박력
637,저 여자는 남자애를 모르는데 초면에 고백은 에바참치를 넘어선 에바고래;;
638,"요번주에 무슨사정이있으시겠죠...ㅜㅜ
스토어가서보니까 다음주는 분량많아요!
평소이작가님이 많이그려주셔서 짧게 느껴지질수도있는데 100넘으면 그래도 은근히 많은거같아요...
아니라고생각하시는분들도 계실수있지만...한번쯤은 이럴수있다고생각해요...쭉연재해오셨고 분량도충분하셨고...
분명히 이글은 묻히겠죠...그래도 알아주셨으면해요..."
639,작가님 지금 실검 2위에요....뉴스에는 감금설 까지 있고요.....
640,"""조금이라도 더 밉보이고싶지 않으면 앞으론 찾아오지 말렴""저 반응이 현실적이라 그런가? 오히려 마음이 편해지네요 비정상속의 정상적인 반응이 사이다에요ㅋㅋ"
641,저  덴마 어제 처음 읽기 시작해서 시간가는줄 모르고 다음화 누르다가 댓글이 없어서 깜짝놀랐는데가장 최근화네요 ㅋㅋㅋㅋ
642,"윽 내가 쿠키를 구웠어 안돼!!!
타임 리와인드!!!

또 똑같은 실수를 반복했어 안돼!!!
타임 리와인드!!!

몇번이고... 재밌을수만 있다면 난!!
타임 리와인드!!!

틀렸어.. 당연한걸 잊고있었어..
쿠키를 구워야만 볼수있다는것을.."
643,"일표 늙은 킹한테 털렸자나
일표가 3천계주인겨우이길때 대위는 제우스 녹이던데"
644,롯만 얻어맞았네ㅋㅋㅋ 진짜 주먹싸움은 약하구나...
645,2베뎃님 벋이아니라 벗입니다
646,"주인공이 꼭 호감이어야 한다는 법도 없으니까
그동안 다른 웹툰의 주인공들처럼 착하고 쿨하고 매력있지 않은 오수 보면서 짜증났는데
그냥 살면서 오수같은 사람 은근 많이 보고 나도 오수같은 생각을 했던 적이 있더라.
심리학에서 사람들이 누군가를 험담하는 이유는 그 사람의 나쁜 점이 자신의 나쁜 점과 겹칠 때가 많다는데 오수 행동들 보면 짜증나는 행동의 종합체라 누구든 자신의 단점 한 가지 쯤은 오수랑 겹치는 것 같음. 그래서 더 욕하고. 무튼 감정선 극사실주인 건 인정하고 높이 사는데 주변 인물들이 찬양하는 건 넘비현실적. 우리는 오수의 독백을 봐서 오수의 본질을 볼 수 있다만 웹툰 속 인물들은 포장된 좋은 모습만 봐서 그런 거라 이해하는 수밖에"
647,이 장면을 위해 그 많은 백경대가 선글라스와 터번을 둘렀던 것인가!!!!
648,걍 지으니 누나 원룸에서 멘탈 바사삭 좌절하고 있는 모습만 나와도 쟤네 나오는거 보단 훨씬 재밌을듯
649,베뎃님 다 정답입니다
650,드뎌 현실성있네
651,모바일 유저들의 깊은 빡침이 별점을 통해 느껴진다
652,오바마는 컬럼비아 대학교 나왔습니다 하버드는 대학원...
653,미리보기 별점 미리 봐진다면 좋겠다 쿠키 안날리게
654,넘어졋을 때 기대햇는데 역시 동태는 동태네ㅉㅉ
655,젤리피쉬라길래 소속사인줄
656,"분량짧아도 지금이 분량도 짧고 재미도 없던 미오구출기보단 훨씬 낫다 주제의식도 다시 다루기 시작했고 인물도 매력적임 
이젠 동태가 미오야 외치는것만 봐도 신물이 날 지경까지 왔음 
은주 : 다이스 소멸과 부활 사이에서의 갈등, 지은 : 자기 삶을 되돌림과 자신이 벌이는 PK와의 갈등 -> 동태,미오 따위론 절대 못다루는 주제의식"
657,김두식이 저거에 상처나면 저 x세대 꼬맹이는 제우스급이라는가네? 참고로 제우스 혼자서 진모리 한대위 제외한 인류를 멸망시킬뻔함
658,그래서 4대크루 통일은 덩대형이 하는거군
659,처음 나왔을 때부터 한주도 빠짐없이 본 사람들은 알거다. 이 정도면 상타치라는걸
660,"저번화 내용요약:
나니야!!!

이번화 내용요약:
나니야!!!

다음주 내용예측:
나니야!!!

다다음주 내용예측:
나니야!!!"
661,"오수 집착도 좀 무서워지고,,, 그것보다 아직 본인이 거식증이라는 걸 인식 못했다는게 더 무섭다. 노아가 저 상황에서 빨리 병원 데리고 가줬으면 좋겠다. 
근데 민호 저 ㅅㄲ는 그냥 꺼져주면 안되나?"
662,"<다이스 앞으로 내용 예상>

다음화 토너먼트 싸움1편
다다음화 토너먼트 싸움2편
다다다음화 토너먼트 싸움3편
••• 5편까지 토너먼트 싸움
6편 ㅡ 드디어 승자가 동태를 만나는 장면까지
7편 ㅡ 승자와 동태의 말다툼 
8편 ㅡ 동태 살기위해 승자와 협상중
9편 ㅡ 승자와 협상중에 패배한 A랭커들 룰어기고 동태 얻으려고 싸움
10편 ㅡ 다시 토너먼트 제안
••• 무한반복"
663,좋았어 단풍처럼 자연스러웠어
664,아침드라마는 임신해서 아기 낳을 때부터 아침드라마 시작이었음 ㅋㅋㅋㅌㅋㅋㅋ
665,"민간인이 몽둥이있으면 렙9999 
히어로가 템이 없으면 렙1
???????????"
666,텐카는 산 사람을 더 중요하게 생각할뿐.. 틀린말은 아니죠 텐카~~ 시문씨도 이해는 가지만 답답하기도 함ㅋㅋ
