,low_comment_False
998,"걍 깔끔하게 스토리 작가하는 사람은 웹툰계 떠나고 
(자기 작품을 X게이머 : X자리에는 남자 성기의 비속어가 들어감이라고 부르는 사람) 
그림작가는 다른 스토리 작가 만나서 새 작품 발전시켰으면 좋겠다.
스토리 작가가 네이버 웹툰 영원히 떠났으면 좋겠다 싶은 사람 추천"
999,"아니 엄마 걱정만 끼치는 짓이나 하면서
뭔 짐이 안돼 더 되겠구만 ㅡㅡ 개답답하다"
1000,누가 저런 개씹오타쿠자기관리안하는도태남을 좋아하냐
1001,"덴마3대미스터리
1. 발락의 야한과거
2. 피기어암컷 
3.엘 면상"
1002,저 ㅈㄹ할거면 왜 굳이 하데스로함?? 하다못해 헤글러 백명만 모다놓고 뇌수술해서 증폭까지 하고 VX까지 처맥이면 다털엤구만 ㅋㅋㅋㅋㅋㅋ
1003,준우는 하민이랑 이어지면 안된다 오늘 화를 보고 하민이가 너무아깝다 준우 암덩어리 ㅋ
1004,"더 게이머 결말

만렙을 달성한 한치한이  두 부인과 여섯 첩을 데리고 놀디ᆞ 하루는 인생무상을 깨닫는다.한지한은 결국 불교로 귀의할 생각을 하던 찰나 지나가던 성모대사에 의해 지금까지의 게임 현실이 꿈임을 알고 꿈에서 깨어난다.
꿈에서 깬 지한이는 인생의 무상함을 깨닫고 성모대사의 인도를 받아 1점계로 들어간다."
1005,"이럴거면 유료로  미리보기하지마;;  차라리 그 분량을 더 채워서 올리던가 
돈을 벌고싶은데 독자들은 붙들어야겟고 어휴."
1006,아니 보배 사정듣고 울면서 놔주던 민호 어디갔죠? 오수가 충격받고 각성할 계기가 필요한건 알겠는데 왜 계속 주변에 있던 멀쩡한 애들을 까내리려해요;;
1007,1점도 아깝
1008,믿는 바비에 발등 찍혔다 ... 정뚝덜이다 바비야
1009,카톡 오픈채팅방 검색에 씬커 스터디방 치고 들어오면 됨 작가 보게 좀 올려줘
1010,노아 일방적으로 오수편만 들어주는 꼴 보니 참.. 솔직히 진짜 주인공은 보배고 오수는 주인공한테 자격지심 가지고 자기가 먼저 좋아했다는 식으로 주인공의 연애 기회를 박탈시켜 방해하는 상찌질이로 밖에 안보입니다
1011,"너무 그러지 말아라..
모르는 사람 지갑 털어먹는게
그렇게 쉬운줄 아냐..
더게이머 작가정도나 되니까
모르는 사람 지갑도 털어먹는거다."
1012,"예전꺼 정주행 하는데 120화에 동태미오 달달하게 데이트하다 키스하는 장면. 지금 다시보니까 이 장면만큼 역겨운게 또 없네ㅋㅋ 
가식과 이기심을 꽁꽁 숨기고 있던 커플이 달달한척 하니까 진짜 못봐주겠드라. 나중에 은주 죽이려들고 은인 지은이 뒤통수 치는 애들인걸 알고보니까 노답.. 
진심으로 얘네 둘이 알콩달콩하는 파트 다 스킵함. 스래기들 꼴깝떠네~라고 밖에 안느껴짐"
1013,욕할거면 보지말라는분들 저분들은 욕하러온거지 보러온게 아닙니다.
1014,동태ㅅㄲ야 차라리 지은누나한테 그렇게 해줘라ㅋㅋ
1015,주인공이라고 하자니 너무 인성 쓰레기에 줏대없는 정신병자이고.... 빌런이라고 하자니 너무 찌질하고 위선적인데다 멋도 없고.... 이래서 재앙 하나 봅니다.... 동재앙이 빌런짓 한 뒤로 하이브처럼 멋있었으면 모를까 무영이같은 포스 하나도 안나고 불쾌하기만한디 이거 빌런이라고도 취급 못함. 걍 싸이코 재앙
1016,이렇게 될 수 밖에없는 이유가 있는데 웹툰 더 게이머는 간단하게 소개하면 성상영 작가님의 소설 '더 게이머 오리진'의 코믹스판입니다.즉 소설을 그대로 만화로 옮기는거니 세세한 설명까지 일일이 다 쓸 수밖에 없죠.분량도 많이 나올 수가  없는게 성상영 작가님은 소설은 자기가 썼으나 코믹스판에 관해선 아무런 기여를하지 않으십니다.심지어 콘티조차 그리지 않으시는걸로 나와있죠.적어도 만화쪽 학원 3개월만 다녀도 콘티는 충분히 그리고도 남습니다.결과적으로 성상영 작가님은 자기가 쓴 소설만 상아 작가님께 내놓으시고 인물구도 배경은 니가 알아서 다 그려라 이런 식이니 이렇게 나올 수밖에...
1017,ㄹㅇ 발얌커플 니네 너무 싫다고... 은인들 상처주고 배신주고 쓰레기짓 다하면서 애절한 커플인척좀 그만 ㅜㅜ 니네 지옥에 가서 거기서 사랑하면 되잖아
1018,분량 실화냐
1019,이런 작품은 카x페도 거릅니다.. 진짜 중국 양산형 만화 같아요
1020,럭키짱에서 누가말했지 베댓이 자유게시판이 되면 그웹툰은 망한거라고
1021,진짜 답답하다 답답해ㅋㅋㅋㅋㅋㅋㅋ 등록금이 그냥 어디서 뿅 하고 나오는 줄 아나 부모님이 고생해서 그 돈 번건 생각안해? 그리고 아기 낳고 내년부터 학교 다니겠다는데 아기가 있는데 학교를 어떻게 다녀ㅋㅋㅋ부모님이나 주변 언니들한테 떠맡길거야?? 남친을 잡아 데려와서 같이 책임지게 하든가 아니면 지우던가 해야지 저렇게 대책도 없이 낳으면 애는 뭔죄야... 학교는 왜 또 가서 친구들한테도 거짓말 하고.. 보면 볼수록 노답이다 그냥 착한척 하면서 민폐 끼치고 다니는 애
1022,양영순: 나는 메갈작가 덴마는 메갈웹툰 (2019 지스타 강연에서 실제로 한말 ㅎ)
1023,제발 부모님 한테는 좀 말해..
1024,? 하루종일 골렘만 만들면 어비스도 혼자서 다 쳐먹겠는데?
1025,양영순 팩트: 인스타에는 지각하는 와중에도 책 두 권 읽고 주짓수도 한 판 땡기고 올려놓고 댓글 막음 ㅋㅋㅋ 유튜브 검색해보면 정시연재의 아이콘이 되겠다며 당장 곤란한 질문부터 넘기려고 뻔뻔하게 거짓말 해댐. ㅋㅋㅋ 과거 인터뷰에 덴마 그래도 결말은 생각하고 그리고 있다고 해놓고 지금 스토리 보면 그것도 거짓말 ㅋㅋㅋ
1026,어떻게 생각하냐고? 짧다고 생각해~
1027,마지막에 때리는거 까지는 보여줘야줘...
1028,이제 그냥 진짜 스토리볼려고 온다..정이 아니라
1029,고딩때 왕따 당하다가 대학교 와서 몰카 리벤지포르노 당한거면 너무 불쌍한데
1030,야 ㅋㅋㅋ 애들아 반장이 그렇게 싫으냐? ㅋㅋ 나도 은행밟은 내 신발냄새만큼 싫다 ㅋ
1031,"왜 이렇게 됐을까
연출도 괜찮고 전투씬도 볼만 함.
분량이 좀 짜긴 한데 분량은 뭐 예전부터 반의 반토막낫으니

지금 평점이 이런건
아람이 행보에 고구마를 처 먹는 기분이고
주인공은 아람이 구하러 왔다더니 별 연관성도 없는 씨름 보느라 
석달 넘게 날아가고 (이건 진짜 질질 끌려는 의도가 보일 정도로 끔)

패왕도 아닌 듣보잡 암흑왕이 해수왕이랑 접전 벌이느라 분량버리는 것도 짜증나고   지금 패왕  vs  해수왕이였으면  흥미진진 했을걸?

하다못해 마왕을 뒤에서 노리던 야수왕이 마왕 암살시도하고 해수왕이랑 붙는 구도면 전개에 이해라도 가지.

암흑왕 쟨 뭔데?"
1032,그림체빼고 좋은게 하나도 없네 어느정도까지 역겨워질까해서 봤는데 성추행에 외모평가에 답답한 여주에 지맘대로인 남주;;
1033,"물타기로 인해 억울하게 욕먹는 사례가 아주 없는건 아니지만, 그렇다고 다수의 의견을 무조건 물타기로 매도하며 깨시민적 의식을 드러내보이는 것이 결코 좋게 보이지만은 않습니다:)"
1034,갈수록 가관이네;적당히해 진짜;;독자가 우스워?
1035,타임커터 : 아 석순이 그립다~
1036,님들 이거 여자 40화 되서야 애낳고요 남친이랑 가족들이 그때되서야 알게되요 몇달을 끄니까 매번 와서 여주 답답하다고만 하지말고 40화까지 기다리시던지 아님 보지마시던지 하시죠 다시말하지만 40화되서야 애낳고 남친과 가족들이 모든사실을 알게됩니다
1037,"마법사도 아닌 선일이와 반장도 인형으로 학교를 다니는데, 본체가 학교를 다니는 게이머 클라스."
1038,"또 찐따 둘이서 분량 다 잡아먹네ㅋㅋ
은주 지은이 언제 내보낼거?"
1039,아 일본 감찰사가 조선에 호랑이 잡으러 온거구나 일본인이라는 말이 없어서 뭔소린가함
1040,"또 진행도 별로없고 내용도 없고
컷낭비도 심하고 재미는 떨어지고 별점도 떨어지고"
1041,"딘 버틸때 츠츠츳 거린것보면 딘양팔에있는거 용포고
설마하니 딘이 진태진 환생? 

그럼 첨부터 딘이 리뉴얼 따라하고서도 멀쩡한것이 설명이되긴하는데 용포가 딘한테붙어있는건 진모리가 할아버지 지키지못했다는것때문에 지키고싶었다는 마음을
용포가 시행하고있는걸지도?"
1042,와..결국 출산했네
1043,"패션왕 늑대 나왔을 때도 욕한마디안하고 묵묵히
봤다.. 늑대나온건 그래도 웃기기라도 하지
이번건 너무 심했다 진짜 개연성이 하나도 없어
걍 될놈될? 이걸 말하고싶은 의도인가?"
1044,ㅋㅋㅋㅋ잡퀑다이크랑 가이린이 뭔가 되게 교훈적인 말을 하는게 왤케 같잖냐. 다이크는 지로처럼 노력을 한 것도 아니고 시술받고 자존감회복. 가이린은 복수하겠다 해놓고 고산이 치워줄때까지 아무것도 안하다가 유산개이득 이러고있고ㅋㅋㅋㅋㅋ 결국 이 웹툰은 개연성 다 떠나보내고  운이 전부다로 끝난 웹툰.
1045,난 반장 나오면 그 화는 별로라서 좀 별로다
1046,"박형석-카피
바스코-무에타이
이진성-복싱
홍재열-시스테마
이태성-주짓수
박지호-장풍"
1047,"작가님..댓글 좀 읽으시고 반영해주시면 안되나요..?
독자들이 스토리를 바꾸라고한것도 아니고요 진행이라도 빠르게 해주셨으면 좋겠어요..
항상 똑같은 내용 반복에 제대로 풀리는 내용도 없다보니 답답하고 재미가없어요.. 처음엔 정말 재밌게봤는데 뒤로갈수록 이렇게 재미없고 답답해지다니...
이제 쿠키 안씁니다~ 웹툰을 읽고 보라고 만드는건데 독자 생각좀 해주세요 제발 좀 스토리 구상할때 읽는 독자좀 생각해주세요~"
1048,"혐태가 은주, 지은, 대웅 인 걸 눈치챘으면 만약애 잡아서 대웅이면 족칠거고 은주나 지은이면 어쩔 건데 만약에 암가 사이코키내시스 했는데 최악의 경우로 지은이 맞으면 이 만화 끝남 ㅋㅋ"
1049,"독자:독자들이 이렇게 힘들게 반장을 싫어하는데 왜 보상이 없는거지

신:그렇군 잘가라 반장"
1050,지방차별 심하네요 외모지상주의란 주제랑 상관도 없는것 같은데
1051,"무의미한 스토리
무의미한 대사
감흥없는 장면"
1052,그냥 웹툰내리는게 낫것다
1053,네이버 제발 듀얼연재 그만해 제발 왜 굳이 듀얼연재를 하는건데
1054,"둘다 존나 노답인데 아직 지가 여자친구도 아니면서 여친인마냥 구는거 개노답... 
"
1055,지금와서 옛날꺼 정주행하면 미오동태 설레던 연애씬 그냥 짜증나기만 하고 은주 짝사랑하던 때가 더 설레는거 ㅇㅈ?
1056,"애시당초 1천계부터 7천계 주인들 싹슬이하는데 3분컷, 독심술, 카피, 제아봉침 48배 평타로 진여의 두동강낸 사탄하고 싸워도 승부를 알 수 없는 캐릭터가 작가 피셜로 여래인데, 저딴 쪼다 둘이서 여래를 어떻게 컨트롤하냐?

당장 과거 행적만 봐도 화안금정 얻고 날뛰던 전성기 제천대성을 여래의 검 검격 1방에 120억 마왕군하고 제압해버린 다음 오행산에 500년간 쳐박었었는데 ㅋㅋㅋ"
1057,설마설마 아무리 찌질하다지만 진짜 최후의 다이스로 미오 살릴꺼야 빼애액 거리는 찌질함까지 갈 줄은 몰랐다................ 주인공은주는 왜 저런 조연따리를 설득하려고 드니??
1058,"아니 여주 왜저래 저와중에 맛보고 지 랄인데 저것도 성범죄인데,,"
1059,웹툰 내용가지고 지적하는게 아니라 분량 자체가 너뮤 없다고 따지는건 소비자로써 할 수 있는 말 아닌가 ㅋㅋ 적은건 적은거지
1060,"고민해봤는데 결국 ""며칠 후"" ㅋㅋㅋㅋ
며칠 후는 업로드 시간이었고ㅋㅋㅋㅋ"
1061,"500 명 있던 백경대에 탑클래스는 60명?
고산가가 엘리트만 뽑을텐데 오히려 시장 관례보다도 질이 떨어지는 잡퀑 집단이였네?

숫자 놀이 하더니 설정이 8우주로 가는구나..."
1062,독자들 얼마나 웹툰내용 할말없으면 배뎃시켜달라는 거 밖에 없냐 ㅋㅋㅋㅋ
1063,ㅋㅋㅋㅋ진짜미친스토리
1064,니네 덴경대가 양형실드치고 지키는것같냐? 우린 덴마의 작품성을지키지 양형의 불성실함은 지키지않는다.
1065,"작가님다른분들이분량작다고해서열심히그려도분량을늘려도뭐라고하조?그이유를알려드릴게요.
1.설명충
(설명이너무길고자세함예를들면고양이골램설명할때그냥탐지,감지,도청능력이있는엄청난고양이다.라고해되되는데너무길게말함)
2.쓸모없는(줄일수있는)그림
(굳이필요없는그림을한번더넣는다던지그러므로진도가더안나간다.안그래도작은분량인데..쓸모없는그림이너무많아요.예를들면오늘첫컷하고두번째컷없어도충분히말이되고딱히어색하지도않은데집어넣음..도데체오늘은시연이가처음에3컷만나와도충분아니면마지막컷정도..그런데계속중간중간뒷모습을을왜자꾸보여주는겁니까...)
3.그럼에도부족한스토리
(저렇게진행이느리면스토리가탄탄하거나정주행할때아스토리가느리지만진행은됫구나해야하는데..작붕은기본이고..여전에나온캐릭이아예안나오는경우도있고심지어중요한설명은막상안하는경우가있다..)
세줄충들을위한요약
이만화의문제1.설명너무많고
2.쓸데없는컷이너무많고
3.그럼에도탄탄하지않은스토리"
1066,"사실전 이거 욕을먹든말든 상관없는데, 중요한거 하나만 알려드리려고요. 지금 네이버웹툰 최대문제는 급식물많은겁니다. 일진싸움이든 여학생들 투닥대는거든 삼류연애든 급식물이 문제에요."
1067,기안이 노린 것..수준 낮은 미개한 네이버 독자 층을 상대로 노이즈 마케팅이 뭔지 보여줌ㅋㅋㅋㅋㅋ결국 이슈 화 되면서 기안 개이득ㅋㅋㅋㅋㅋ
1068,조나 무례하자나 여주
1069,"사실 단모리가 짝퉁이고 딘이 진모리 아니냐?
성배맞고 아프다가 뉴 나노머신 맞고 살아난거지
막말로 진모리 원래 차력이 시간의 여신이였다 
라고 할 수도 있는거지
이상 전개에 빡친 독자의 개소리"
1070,"네이버 웹툰의 수준을 평가하는법
베댓에 스토리나 작가얘기만 있다 : 문제없음
베댓에 레시피가 있다 : 심각한 문제가있음"
1071,언제까지 동태 빨아주는 스토리 진행 할 거냐 지친다
1072,분량이 참 미오스럽네요.. 한편 끝맺음이 그리다 만 느낌
1073,"오늘한일:참된내가보냄 :누군데? :야소님 :??
유리에서 주파수가 느껴져!!
유리복붙  끝"
1074,아니 지가 연락해놓고 ㅋㅋㅋㅋ 스토리작가 스토리 만들지마라 뭐 이딴거 쳐만들고 작가함? ㅋㅋㅋㅋㅋㅋㅋㅋ
1075,소중한 사람을 위해 목숨을 거는 사람이야 말로 멋진 사람이지만 소중한 사람을 위해 목숨을 뺏는 사람은 더 이상 사람이 아니다 )지난주에 본 댓글인데 감명 깊어서요
1076,들어오자마자 찐따를 큼지막하게 놔두면 제가 놀랄줄 알앗습니까? 네 맞아요 놀랏어요 야발 깜짝아
1077,어느 날 가우스네 반 선생님이 ‘1~100까지 더하면 몇이 나올까?‘ 질문을 주었습니다. 그래서 많은 아이들이 답을 못 찾았지만 가우스는 단 몇 분 만에 답을 말했습니다. 선생님이 답을 묻자 가우스는 1이라고 말했습니다. 그러자 선생님은 ’틀렸단다 다시 해오렴‘ 이라고 말했습니다. 그러나 가우스는 선생님에게 “1+2+3+......+100=1*1+1*2+1*3+...+1*100이죠? 1명이 1점주고 2명이 1점주고 3명이 1점주고 100명이 1점 줘도 결국엔 1점이죠. 그래서 나온 모든 1점을 합치면 답은 1이에요!”라고 답하였습니다. 선생님은 가우스의 대답에 감탄하며 더게이머에 1점을 주었고 전교생들은 부계정까지 써가며 총 5050개의 아이디가 더게이머에 1점을 주었습니다.
1078,말이 되는 전개를 하셔야죠 맘에 들고 안들고를 떠나서 공감도 안되고 이해도 안되네요. 저 상황에서 보커보고 왕자님이라니요 이런 스토리 보고도 작가 두둔하는 사람은 저 상황이 이해라도 간다는 말씀이신가요?
1079,작가가 알아
1080,저렇게 에프킬라 뿌려놓고 구원자라고 하면 되게 모순적이잖아요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1081,작가:내가 생각한 반응은 이게 아닌데..
1082,아 걍 지은이랑 사겨 ㅡㅡ 언제까지 시간 돌리는거 반복할거야 동태랑 지은 둘다 소중한거 잃고 혼자 됐으니까 서로 도와주면 되겠네
1083,"콘돔 안끼자함
10달동안 성운이 연락 씹고 연락도 안함
임신사실 숨김
임신사실 숨긴채로 결국 출산 
지혼자 키울수는 없으니 성운이 찾아감
옆에 여자애있는거보고 다짜고짜 성질부림 

ㅋㅋㅋㅋ 남주입장에선 쌍욕박고 손절해도 할말이없지 ㅋㅋㅋㅋ 부처다 성운이는"
1084,이정도면 성인이 맞나 싶을 정도임. 모든 작가들이 선망하는 네이버 웹툰작가하면서 저 따위 책임감이라니.. 자선사업도 아니고 돈받고하는일에 저런 불성실함이라니.. 마사토끼 아니면 굶어죽었을듯
1085,7일후 너에게 말하는건데 진짜 더이상 지르지마라. 한순간이라도 기대한 내가 호구인듯
1086,나 오늘 생일 인데 베댓 올려주라 ! 미안 ㅜ 염치 없는 부탁 이야 ㅠ
1087,베뎃말대로 반장 제거하고 주인공 흑화가죠
1088,야 이건 아니지;;; 납치+감금+협박+살인미수+동의하지 않은 수술 집행+고문
1089,어린아이 성기 부분을 남성기 모양에 빗댄 코끼리로 모자이크 한것도 성희롱에 차별적인 요소 아니냐? 저기에 죠리퐁같은 모양으로 모자이크 되면 개쿵쾅거렸을거 같은데  
1090,하...먼가 병맛인데 쿠키를 결국 다먹어버렸어..중독인가..?
1091,나 형석이 맞는거 볼라고 쿠키 쓴거 아닌데..
1092,아니 그럼 미라이가 고작 제트한테 복수하라고 저 공진기 롯통해서 냉장고까지 가서 전달한 거라고??덴마프로젝트랑 관계도없이??양영순 본인이 구상한 스토리 잃어버린거 아니냐??
1093,"진도 느리다고 글쓰는게 이번이 처음인거 같네요...아무르랑 난새 재회하고 난새 능력 밝혀지는데까지 19회차(18회차였나?)씩 사용한 내용이 3줄 요약이 가능한...
1.난새 아무르 재회 후 백양 만남.
2.백양들 덕에 여우족 우두머리 만났는데 컬렉션에게 침입받음
3.컬렉션과의 싸움 중 난새의 능력이 일부 밝혀짐
아무리 그래도 이건 좀 너무하단 생각 안드시나요...?"
1094,"왜 직접 끝나는 시간을 안물어보는거야,,,,.자기 남친이면서,,"
1095,"ㅋㅋㅋ장난하나ㅋㅋㅋ오수 이정도면
정신병아니냐??
작가님 오수 무슨 망상증 있어요.?
진짜 소름 돋는데 내 주변 친구가 저러면
진짜 소름인데"
1096,테...이...? 그게 뭐였지?
1097,이제 반장은 뭐라 불러야 해요...?
1098,이 편이 동원이가 고백 못하는 이유를 보여주는 화라는 베댓님.... 동원이가 소심하고 찌질해서 고백 못하고 있는 거라는 것 쯤은 한 100화 전엔 파악한 것 같네여;; 쉴드칠거면 제대로 좀...
1099,나만 폰 걱정되냐
1100,"지금보니 은주는 현실적이면서도 이상적인 목표를 가지고 있고, 동태는 극이상주의자, 지은이는 극현실주의자네 저번 싸움부터 은주의 이상을 계속 지은이가 저격한걸 보면 지은이 말듣고 은주도 뭔가 한계를 느끼게될듯"
1101,"작가님 죄송하지만 아무리 마스크쓰고 은폐한다한들 가족조차 잠시 격리하는게 맞아요 시기가 어느때인데 그런 행동을 하셨던건지..... 가뜩이나 전염성 질환에 민감한 시기인데...
그리고 수익창출을 위해서건 소통을 위해서건
유튜브는 '부'의 개념이지 '주'가 아니라는것 알아주시길... 만화소재로 표현하기위해 과장된 부분도 있겠지만,이게 사실이라면 작가님 지나치게 무리하시는거 같아요.."
1102,동까얼굴은요...?
1103,"네이버 웹툰의 수준을 평가하는법
베댓에 작가나 스토리를 언급한다: 문제없음
베댓에 웹툰 욕이나 충고가 있다: 조금 문제있음
베댓에 레시피가 있다: 큰 문제있음"
1104,그 전에 오수 개웃기는게 민호는 자기한테 마음도 없는데 지 혼자 뭐하는거임 ㅋㅋㅋㅋㅋㅋ 눈치가 있으면 자기한테 맘 없단 거 알텐데 지금까지 홍오수 캐릭터가 눈치 없는 편도 아니고 기본적인 눈치는 있는데 그걸 모를 리 있음? 민호가 다른 사람 좋아하는 거 지도 아는데 인정하기 싫은거지 걍 제발 지 혼자 북 치고 장구 치지좀 않아줬으면
1105,x세대가 세다고 하면 그냥 세다고 하는 게 낫다. 서한량 진태진..?작가 본인이 그린 캐릭 까먹음? 서한량까지야 그래 단순 혈통빨로 넘어선다치자. 근데 진태진은? 오딘은 뭐 빙다리핫바지라서 팔 잃었겠나?
1106,기다리는데 7일 보는데 7초
1107,"그래도 마빈으로서 쌓은 정이 있다고 저 꼬라지보니까 좀 안타깝네...
""난 그런 말 한 적 없어...백경대...집합!""했을 때 간지 쩔었는데..."
1108,돈이 아까운게 아니라 기다린 일주일이 아까운거지ㅋㅋ 아직도 고작200원 타령하는 사람들이 있다니..
1109,나루토로 장르변경했네 예토전생도하고 
1110,그리고 두번째만남: 너....그싸가지?!!!!!!!!
1111,"이
거
배
뎃
만
드
면
배
뎃
이
많
아
보
일
꺼
야
꺄
르
로
힝
~"
1112,크흐흐..별거 아닌건 아니지 이런 연재방식을 견뎌낸 당신들이 더 대단한거야
1113,ㄹㅇ 저정도로 맘대로 해도 되면 그냥 벽돌로 찍어도 괜찮아보이눈데? ㅋㅋㅋㅋㅋㅋ
1114,여기서 개막장으로 반장이 갑자기 죽으면 이런막장은 찬성이요
1115,양형도 일하는데 일해라 토가시
1116,남주 정말 부처+천사인데 전개는 발암이네...
1117,와 진짜 은주 입장에서는 최후의 다이스 자기가 못가지면 동태가 그나마 낫다고 생각해서 엑스랑 싸울때 희생한건데 지금은 뭐 저딴놈을 위해 희생했었나 기가막힐듯
1118,이젠 오수가 이상한게 아니라 그냥 스토리작가가 너무 이상함
1119,"*예상*
다음주:한태성이 이재호 병문안을감 그리고 이재호와 대화를 나누던중 자신을 팬 놈을 기억하기 위해 갑자기 사대천왕 시절에 기억 회상을시작
다다음주:기억회상중 이재호를 팼던 애가 떠오르고 한태성 무리가 했던 개 양아치짓이 남옴 
다다다음주:드디어 신케 정체를 깨달은 한태성과 신철민에게 신케가 쨘 하고 나타남
다다다다음주:신케가 신철민과 한태성에게 달려듬 그러나 두 주인공은 전혀 싸우지 않을것이고
그 다음주:이때부터 태성,철민,재호,덕진 네명이 중학교 시절 했던 쓰레기 짓을 떠올리며 반성하고 뭐 그러는 전개로 흘러가면서 자연스럽게 동까얼굴은 스킵하고 또 다른 에피로 넘어가겠지"
1120,동태가 쓰레기짓을 할때마다 쓰레기같은 취급을 해주면 안까일텐데 작가는 만화안에서 계속 멋있는 순애보인것마냥 연출하니 문제임. 미오도 지은이 배신때린거 충분히 욕먹어야하는데 그냥 묻혀버리질 않나 ㅋㅋ 발암커플 하는짓 보면 걍 빌런듀오가 따로 없음
1121,"동태의 변절과 타락이 문제라기보다는 그 과정이 너무 어설프고
질질끈게 화근인듯
애당초 미오를 그냥 빨리 하차시키고 은주와의 불가피한 대립과
본인의 가치관사이에서 방황하는 전개였다면
그나마 나았을꺼임
몇번이나 시간되될리고 지은 멱살잡고
도무지  정당성이 보이지않는 요소가많으니
차라리 뚝심있게 선비충모습을보이는 은주나
약자이긴하나 어떻게든 살아남으려고 발버둥치는
지은이 더 공감이가는거

퀸은주 엔젤지은 프린스대웅 도원결의 ㄱㄱ"
1122,미친분량 미친내용 미친조석
1123,"초반의 신선한 두 주제를 엮은 그 모습은 어디 가고, 이젠 분량 채우려는 것으로밖에 보이지 않네요. 작가님, 혹시 힘드시다면 푹 쉬시고 제대로 다시 연재해주세요. 이건 아닙니다."
1124,? 민호가 저렇게 까지 비호감 된건 둘째치고 오수가 민호땜에 저렇게 됬다는건 오바임....  물론 민호의 영향이 아예 없지는 않겠지만야 계속 작품을 보면 결국 오수 본인이 스스로의 자존감과 생각 때문에 망가진거였음...  그래도 오수야...  이제 차였으니 마음 잘 추스르고 진짜로 변해보자... ㅠㅠ 드뎌 오수와 민호의 관계의 끝이 보일 것 같네
1125,빨리 고백하고 차여라 진심 오수입장에서는 좋아하는 사람 포기하기 힘든건 이해 하는데 저정도까지 남자가 눈치줫으면 어렴풋이 눈치채야지 이건뭐 눈치받은족족 초기화되는 느낌
1126,"마지막에 오수가 ""지훈이가 남자친구?""
이 생각만 안했으면 조금 불편하게라도
잘수있을것 같았는데 막대사 보고나니깐
혈압올라서 올잠도 달아나겠다 우라질"
1127,"아니 나만 오늘 스토리 뒤죽박죽 같냐? 진짜 예고편만 보여주는 느낌
....."
1128,이 웹툰에서는 야스오(야소)가 오더도 내리는데 우리팀은 왜.....
1129,아니 얼마나 할 이야기가 없으면 배뎃이 단톡방 얘기야
1130,매번 어머니한테 맞춰드릴순 없잖아요
1131,"둘리는 엄마 찾는게 목적이여서 재밌나 
원피스는 해적왕 되는게 목적이여서 재밌나 
말그대로 원피스는 니코로빈구하기,에이스구하기같은 에피소드 자체가 재밌는거지 
블리치도 동료구하는 목적아래에서 스토리가 전개된거고 목적의식이 아니라 막장으로 가서 망한거다 

더게이머는 능력을 얻어서 세계에 적응해나가고 성장해나가는 과정인데 
지금은 목적의식 따질 때가 아니다 
스토리가 나가야 목적의식이 생긴다
그냥 지금은 스토리의 진전이 없어서 그런거다"
1132,아그네스 : (안대를 벗으며)  미안해요 공작.. 다시는 이 힘을 쓰지않으려 다짐했건만...
1133,"1화 - 오바마 농락하냐?
2화 - 그렇게 댓글 달았는데도 계속하냐?
3화 - 기안님 욕하지마라;;;
4화 - 그래도 기안님 우리 현실에 대해 잘 알려주는듯"
1134,오늘은 전개가 얼마나 막장으로 갈지 궁금해서 결제하고 있다...
1135,발락이 치운 쥐새끼 2마리는 진짜 쥐였던거임?
1136,상황설명하는 베댓들 싹다 날려버리는 곳이 여기인가요??
1137,아 김어준이 왜나오냐 아
1138,혹시나 해서 3주뒤꺼 결제해봤는데 3주동안 얘하나 잡는거만 그렸다니 날로 먹는것도 정도 껏..
1139,우라노 잡퀑놈 현남친 앞에서 전여친 껴안는거보소
1140,지금은 동원이가 유나를 거절했지만 나중에라도 유나에 빈자리를느끼고 뒤늦게 유나한테 널좋아해 했다가 유나는 이미 마음이 떠나서 거절하는 스토리가 되지는않겠지
1141,"난 잘보고있는데 베댓그딴곳에 쓰지마
작품이야기를 하라고.."
1142,1주일 기다렸는데 개찝찝하네... 
1143,1
1144,"야와는 어디갔고
양자공진기는 언제썻고
덴마새끼는 왜 나온거였고
베사카인지 볘샤카인지 바이러스 퀑은 왜 나온거고
고산은 왜 롯을 가장 미워했던거임?"
1145,인류를 어떻게 할것같은 제목이더니 그냥 병맛웹툰ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1146,쟤 여의 한방에 머리 터진애 아니냐
1147,이브 웃지않네?
1148,자 덴경대 몇명인지 확인 들어갑니다
1149,여주인공 어차피 계약직인데 그냥 쌩까고 출근안하고 나가도 회사쪽에서는 아무런 제제를 할 수가 없습니다
1150,엉클이라고 속여서 얼굴 숨기지 않았나?? 제트앞에서 언제 저렇게 얼굴 까고 다녔지... 통성명하는 과정은 또 스킵된건가
1151,진짜 매번 똑같은 것 같아요..... 지훈이 민호오빠 갈팡질팡...☆
1152,'선배 바로 들어갑니다' '좋아 시작해' 라고 하는거 보니까 그냥 초록색 백경대 퀑능력이 비스트모드인듯
1153,차라리 상상이나 꿈이라 합시다; 괜히 이상하게 흘러가지말고 또.. 우기명 드뎌 좀 성공하나했더니 뭔 전개입니까 이게
1154,분량아진짜아오
1155,옷이 젖었는데 속이안비치네요...수정좀요
1156,사장님 너무 불쌍하다..
1157,포켓몬이냐....말하는대로 싸우네....
