,high_comment_False
438,같이 씻으면 되지!!!!!!!!!!
439,인호는 설이를 좋아하기도 했지만 그보다 자기대입이 더 컸던 것 같음 반대로 인호도 유정에게 설이 같은 친구가 될 수도 있었을 텐데 안타까움ㅜㅜ
440,설이 유정화......너무 좋다구요.....
441,이무기가 죽고 싶을 때 전 심쿵사로 먼저 죽었습니따 미쳤다 아 미친 이묵ㄱ ㅟ여어ㅠㅠ
442,와 진짜 한심한 표정이다ㅋㅋㅋㅋㄴ
443,세자 홍련 라이벌인줄 알았는데 3회컷 나겠네..
444,"히아 대사 너무 안타깝다. 그렇게 선배 생각하던 아이가 어차피 들어오지도 않을거<< 이러면서 단장에게 얘기하길 선택했다는게..
히아 관점에서 부장이란 사람(텐)은 이유도 없이 자기 갈구지. 좋아하고 신경쓰이는 선배(란)는 거리 두고 아예 들어오지도 않지 아버지란 사람은 아버지를 아버지라 부르는건데 '나 네 아버지 아니라니까?' 이러면서 전화도 잘 안받지. 주위에 어른이 몇명인데 사실상 거의 다 방치나 다름없다. 제대로 설명해주는 것도 하나도 없고!
저 상황에서 단장이 그렇게 애를 꼬시는데(?) 얘가 신뢰와 호의를 안주고 베겨?
히아가 단장을 맹목적으로 따라도 이제 카신이나 란은 할 말이 없다. 잘못한 건 인정해야지.. 뭐랄까 이젠 늦었다 라는 느낌."
445,"다시 부활석 사용할수 없다는거 엄청난 떡밥일것 같은데..
괜히 불안하네.."
446,메로나를 사오라고 했지 먹으라곤 안했습니다.다시 사오세요.
447,유희열이 아니라 유혈의 스케치북인데 완전 ㅋㅋㅋㅋ
448,정작 유정한테 1대1로 허락받을 자신 없으니까 설이만 쪼아대는 거 세상한심...
449,추국이가 진짜 착한게 지금 직장 상사한테 뺨 맞고 욜라 빡친채로  일하러 나왔는데 웬 인간 둘이 나타나 와랄랄라 하면서 일 방해 하는데 아직까지 안 죽인거...
450,감정 파괴하지 말라고 첫번짜 배댓아
451,"히아센이 1분에 윗몸일으키기 71회 한거면.. 1초에 ..  
약 1.2번  쯤 한 셈인데.. 히아센  너의 그 머리가 부러워.."
452,중간에 얄미워서 안주려고했는데 줄게 이 부분 왤케 설레지
453,여자친구인줄 알았는데 구웅이었..
454,그래도 결과적으로 루비가 뭔가 도움은 된듯ㅋㅋㅋㅋㅋ
455,그러면 다음화에 자본주의의 폭력이라면서 돈다발로 뺨따구 때리는 기술 그려주시죠
456,웹툰에서 여자라면 여잔거지 왜자꾸남자라함
457,아 진짜 볼수록 설이 가드하러왔다고 자꾸 건들지말라는 경환선배... 진국이다 참사람이다 참사람
458,사람 감정에 많이 닿을수록 인간화가 되는 걸까?
459,저 행사 있는거 알고 일부러 엿먹으라고 자살한 거군요...술김에 저랬을 수도 있지만...
460,유정은 억울할수도 있겠지만 피아노를 치는 사람에게 손을 못쓴단건 상상도 안될 두려움일텐데 너무 가볍게 말하는듯
461,봉춘아 기대해도 되지??
462,'고작 이런남자였어?' 아 이건좀... 수빈아 정신좀 차리자 너 이런사람이었어..?
463,아프다면서 술건네시는 어르신 인성 무엇...
464,와;;; 그렇다고 남자의 뺨을 저렇게 때리냐 남자가;;;
465,이무기 표정이 저런건 이무기 용 만들어주는 조건으로 우암 계화때 숨겨주고 공양하고 다해줬는데 결국 용 못돼서 표정이 저런겁니다.
466,란이 아무리 누명이 있다고 해도 여하단원을 죽인건 자신이 행한게 맞기 때문에 누명이 벗겨지더라도 처벌은 피할 수 없을거 같네요
467,아 진짜 이래서 가해자는 기억못한다는 말이 맞는것같아요 진짜 만났는데 우리 현이 아프게하는 말 떠 하면 어떻게요?ㅠㅠㅠ
468,"계미연 남친 없는데 거짓말하는듯해요
저러고 싶을까 ㅋㅋㅋㅋㅋㅋ"
469,확실히 의도하지 않은 사고로 은정이도 죄책감이 있었나 보네...자리 지키려고 피 터지게 노력까지 해 놓고 아무리 진짜 은정이인지 헷갈린다지만 그림 가르쳐줄 생각을 하다니
470,재현이 오늘 왤케 쎄해
471,교장선생님한테 미쳤냐고 해버리네 ㅋㅋ야발
472,흔한 미대생의 낙서인가요..?
473,'처음으로 치열하게 살지 않아도 된다' 이거 보니까 왜 이렇게 찡하냐 ㅠㅠㅠㅠㅠㅠ
474,마지막에 핵소미노가  핑크색 슬리퍼를 지금까지 끼고있었다는건 그나마 마음한편으론 어머니를 용서했다 라고 볼수밖에없지요 과거화를 돌려보면 저슬리퍼를 신고있었다는걸 볼수있습니다.. 만약 어머니가 증오스런 존재로 아직까지 각인이됫엇다면 저슬리퍼를 신을 이유가없지요..
475,남의 물건 안 가져간다더니 몇 십년이 넘게 호선이 신발을 간직해왔다니 진짜 참다가 울어버려요 엉엉엉ㅠㅠㅠㅠ
476,ㅁㅊ소름돋아........진짜 왜저러고 사는거야.....
477,이다영은 손민수 잘못임에도 설이한테 뭐라하는데 재우는 손민수 잘못인걸 확실하게 대하는걸 보면 까칠하기만 하지 재우도 많이 착하네요
478,아 속시원하다
479,시에라 이미 타라카족에 먹힌건가 설마? 저 미소 저만 싸한거 아니죠...? 시에라를 잠식한게 칼리 본인만 아니게 해주세요 작가님ㅠㅠ
480,"여기서 아무도 주목하지 않는데 저 레인저도 사실 근본부터 나쁜 인물은 아니었네요. 이유없이 발생한 정신질환 때문에 판단력 잃어버리고 설상가상으로 대장까지 죽으니까 어떻게든 사건 파해치려고 다시 수도로 올라가려고 악행까지 하다가 검성한테 패배하고 잡혔는데, 이번화에서 이전과 달리 재대로 개념과 정신이 박혀있는 상태를 보여주네요."
481,존잘 와나 진짜 미치겟다
482,배댓님 쟤는 방관자도 가해자도 아니에요 걍 주인공 엄마한테 거짓말듣고 주인공한테 실망한거 뿐이지;; 
483,아니근데 도운 쟤는 지가 왕인것도 아니면서 왜저렇게 나서서 먼저 입터는거지??이해할수가 없네 저번부터 계속 선넘음 내가보니 쟤 홍련 꼭두각시 내세우고 실질적 실세는 지가 잡고싶어하는거같음;;;
484,유정이 괴롭힌 거 때문에 설이 트라우마 생기고 손에 흉터도 남았는데ㅡㅡ 소올직히 난 피폐물도 여주가 남주 때문에 고생했다가 나중에 여주가 다 용서해서 이어지는 후회남주물 진짜 싫어하는데 왜 자꾸 보게 되냐......하...... 그러기엔 유정이 너무 치명적이었다.........
485,잠깐만.... 저 말은 그럼 지금 우리 연금술사 누님이랑 오크쨩이 위험하다는거잖아...??
486,하리를 경매할때 낮주밤주 둘다 가면 가리고 하리를 샀지만 왠지 경매상은 둘다 누군지 파악하고 걍 한사람한테만 팔아도되는데 일부러 낮밤 나눠서 둘다에게 하리를 판 느낌;;;
487,"더러운 것을 재로 만들라고 했잖아요, 병정개미가 아니였으면 안 탔겠죠."
488,"황실이 세다 무림이 세다 그게 무의미한게 우선 무림인은 단체보다 개개인만의 무공을 익히고 그걸 사용하는거 또한 대인전용이다. 즉, 집단전에 약하다는거지. 집단적으로 익히는 것 또한 10명 남짓, 100명정도지만 군은 개인전보다 단체적으로 한순간에 기계처럼 움직여 상대진영을 섬멸하는 목적으로 훈련하는 집단전이다. 한마디로 정의 내리면 대인전으론 무림, 집단전은 군대로 결론 낼수 있다. 물론 군대에서도 용비나 대장군처럼 특출나게 무공이 강한 인물들이 있기는 하지."
489,글구보니 마교놈들도 재수 오질나게 없네. 만나는 사람마다 사천왕에 오무제에 용비까지... 이제 삼존만 만나면 쿼드라 데스!!
490,성장형 괴물이라 못이긴듯
491,아 미친 이거 진짜 린다사제설 찐이였잖아
492,"이거 ""난 너뿐이야"" 잖아요 ㅠㅠ ㅠ ㅠㅠ ㅠ ㅠㅠㅠㅠ"
493,(뇌리속에지나가는개노답남자새끼들)
494,동성애가 병이라는 사람들 머리가 더 병인 거 아님?
495,학교 양아치따위가 비빌수 있는 수준이 아니야 얘들아 ㅋㅋㅋㅋㅋ 쟤는 살인마 사냥꾼이라고 ㅋㅋㅋㅋ
496,먹은거 얘기하지 마 설명하지마 ㅋㅋ 무케 아비사 졸귀들
497,랑또님 그동안 약쟁이라고 해서 죄송해여●˚ω˚●
498,홍시 볼 통통한거 왤케 귀엽냐
499,"이번 화에서 정이 좀 안쓰럽다.. 맨날 원하지도 않는데 주변에 사람은 맨날 몰려서 북적북적하고 시끄러움에 치여 사니까 사람들 속에서 저런 고요하고 적막한 분위기 느끼는 것도 오랜만이겠지ㅠㅠ 조용하다고 말하고 웃는게 여태 본 정이 웃음 중에 가장 편안해 보임
응 내 여자친구지 라고 말하는 것도 뭔가 어린아이 같음 사회생활 잘하고 공부잘하고 등등 능력치 최고인 완벽한 인간상으로 보이지만 어딘가 결핍돼서 남들이 잘 눈치채지 못하는 어린아이 같은 모습이 중간중간 비춰지는게 안쓰럽고 그렇다"
500,저거 진짜 개또ㄹr이였구나? 무슨 까도까도 미담만 쳐나오네?
501,춘배 울지마 누가 춘배울려
502,둘
503,모성앸ㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠ 이니 근데 셰프님이 그냥 좋아하시는거면 좋겠다 진짜 여태까지중에 제일 쎄한인물... 쓰레기는 많았지만 쎄한인물은 또... 처음이라... 모르겠고 셋다 너무 귀여워ㅠ
504,롤랑이에게 형이 있었구나.. 왜 부모님께서 알려주지 않으셨는지 너무 궁금하다ㅠㅠ
505,진짜 몰카 아무렇게 하는애들 극혐;;
506,"유정은 인호가 자기 학교생활 아버지한테 다 꼰질렀다 생각하고, 자기 자리 뺏어간다고 생각하고 있는거네..
인호는 유정을 친구 이상의 가족(아버지 포함)으로 생각하고 하고 있고....... 정아 오해야 얼른 대화로 풀어"
507,산신령 마지막에 행동 뭔가 불안한데
508,학교에서 피구하다 ㅈㄴ아프게 던지는 애 있으면 전의0퍼돼서 공터치 해달라고 하는거같자나
509,정말 다들 처음 봤을 때랑은 나이 앞자리가 바꼈다고 그럴겁니까....
510,가방 뒤져서 훔쳐가는건 진짜 에바 아니냐..
511,그래서 꿈은 꾸고 싶을 때 미친듯이 꾸고 최선을 다해보고 매달릴 만큼 매달려봐야 결국 실패했을 때에도 제대로 받아들일 수 있는듯
512,한서야 솔직히 말해서 화자한테 반했지??
513,이게 웹툰이야 수묵화야? 분량도 이리많은데 그림체가ㄷㄷ..문정후 화백님은 신계에서 오셨나?
514,와 설이 눈치... 손 왜 그래 다쳤어 어제 무슨 일 있었어 에서 보통 자신이 어제 '무슨' 일을 겪었다에 초점이 맞춰져서 자신이 말하지 않았는데도 상대가 어제라는 구체적인 시간을 특정한 것엔 신경쓰지 않고 후에 내가 어제라고 말했었나..? 정도의 찝찝함으로 남길 수도 있음 근데 설이는 그걸 바로 캐치해버림
515,똑똑하니까 말을 듣지 않는겁니다
516,혜선이 중간에 '설마 그 노인네라도 만났나' 라는 대사... 떡밥인가?!?
517,아이제 하난이상처봤으면 좀잘다뤄줘ㅠㅠㅠㅠㅠ 아 진짜지못미ㅠㅠㅠㅠㅠㅠㅠㅠ
518,"바닷물 맥이면 해산물로 돌아가나보네 ㅋㅋㅋㅋㅋㅋㅋㅋ
걍 주먹다짐 하지말고 바닷물 들고가서 뿌리는 게 나을 듯 ㅋㅋㅋㅋㅋㅋㅋ
ㄹㅇ 씬스틸러"
519,혀가 없으면 말이 좀 줄어들까?
520,"저정도면 진짜 없던 정신병도 생기겠다...안전하다 생각한 내공간,내집까지 들어온건데..."
521,영화화하기엔 스케일이 커서 만화 그대로 재현 못하고 망할거같은데... 판타지는 만화가 제일 나은거같음 더 안습인건 영화감독들이 변방의 웹툰 하나를 보고있을 확률 자체가 적다는것
522,나는 인호의 저 모습이 자존감으로 보이지 않는데.. 재능 하나 믿고 기세등등 혹은 오만한 모습으로 보이는데.. 자존감 높은 사람은 다른 사람에게 상처주는 말 함부로 하지 않음. 애초에 인호가 사람들에게 재능하나 믿고 주변 사람들에게 너무 막 대해서.. 그래서 적이 저렇게나 많이 생긴 거임. 후원받는 거 그 사실 하나로 사람들이 저렇게 태도돌변하지 않음. 
523,이쯤되면 스터디그룹인지 파이터그룹인지 ㅋㅋㅋ
524,천한 피...???진짜 도랏다 심지어 양도운 믿고 왕시켜준거..??상상이상이다 궁상태가...그리고 홍련이 마음 얼마나 찢어질까 말하자면 자기 엄마랑 원수 진 사람을 공식적으로 기념해야되는건데..새삼스럽지만 진짜 궁엔 홍련이편 아무도 없구나 연이랑 백한이 홍련의 든든한 힘이 됬음 좋겠다 진심으로
525,말한건 인호가 아니라 인하겠네. 유정이 이상한 일에 휩쓸릴까봐 눈치껏 대신 변명도 해주고 그랬는데 설마 인호가 그랬을까. 앞에서도 인하 조금만 편해지면 정이 아빠한테 쪼르르 다 일러바치고 그랬다면서. 아빠라는 작자도 자기 자식 안 믿고 믿었던 친구한테도 배신당하니 한창 민감한 나이에 유정이 상처 받았을 거 생각하니 너무 마음아프다
526,뭐야 당황해서 여자친구 없다고 급하게 해명하네... 트루러브의 징조가 한두개가 아니었어
527,부모님은 너낳고 미역국 먹었을텐데 넌 태어나서 할 일도 드럽게 없어요 ㅋㅊㅌㅌㅌㅌㅌㅋㅌㅋㅌㅋㄴㅌ백남매 말빨은 못이길듯
528,"아니, 끊는게 수준급이시네요.
빨리 다음화를 남겨주시죠. 자까님
당신의 전속요리사가 되겠슴다."
529,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다홍이 똥꼬발랄했구나 ㅋㅋㅋㅋㅋ 일을 더 크게 만드네
530,"오랜만에 봤는데도 진짜 싫다;;;
현실에도 저런 쓰레기가 존재한다는 사실도 소름;;"
531,저 놈의 국제마케팅 교수님은 왜 자꾸 조별과제를 시키는거야?
532,"여긴 진짜 좋은말이 많은데 왜 안올라 갈까 

올라가세요 작가님!!!

⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️"
533,유정 대형견 다 됐다....됐다....이제 내 쿠키 다 가져가라..........
534,허조교가 보살이네.. 그냥 헤어져라 뭐 저렇게까지ㅜ..
535,와 저 상황에서 조헌이 ''안걸리면 되는게 너희만 있는게 아냐'' 이말하면 무서워서 거품물고 기절하겠다ㄷㄷ
536,설이...이...여우같은 곰탱아 ㅋㅋㅋㅋㅋㅋㅋ 머리 굴리는게 뻔히 보이는데 안웃고배겨?
537,와. 저 아줌마 미친거 아니에요?? 막말 엄청나네??? 적반하장에?? 돈받고 방을 내주는 서비스를 하는사람이 돈값을 제대로 해야지 참 나 원!! 
538,"첫 출동은 트라우마다. 내가 아무것도 할 수 없음을 깨닫는 트라우마. 나도 경기도 모 지역에서 근무하면서 요구조자의 가족이 자기 딸 살려줘서 고맙다고 울면서 인사하는 걸 받아보기도 했지만, 여전히 나는 내가 아무것도 하지 못했다는, 첫 출동의 트라우마가 더 깊게 남아있다."
539,저런 숙제 제발 좀
540,정말 어쩜 cctv인듯 유정 홍설가는곳마다있네
541,"아싸 잘한다 우리 홍설이.
그래 네가 설이한테 진짜 미안해서 사과하는거냐. 그냥 네 맘 편할라고 하는거지ㅡㅡ"
542,브로콜리들이 문제야
543,이제 탁무이가 나와서 해명해주겠지
544,남주연 사과하러 온게 아니고 자기 마음편하려고 홍설한테 나도 어쩔수 없었어 이러는거 같음..하나도 안변함
545,그런거 들어주라고 있는게 사람 관계잖아 설아 ㅠㅠ 혼자 떠안으려고만 하지마 ㅠㅠ
546,저거 황요 아닌듯
547,얘들이 발전이없는건 당연한게 유정홍설이 싸우는경우에는 상황이 나쁜것이지 서로에게 나쁜감정은없어서 오해를풀고 잘지내려고 노력을하는반면 백인호와 유정은서로 나쁜감정만남았고 잘지낼이유도없을뿐더러 대화하는목적자체가 내생각은맞고 니잘못이다라고 따지는형식인데 발전이있을리가없지....
548,"표정보소

알바:귀찮ㅋ"
549,ㅋㅋㅋㅋㅋㅋ 결국 이무기가 자기와 같은 방 쓰자고 부득불 우기겠네 ㅋㅋㅋ 아 근데 가만 보니 최대 피해자도 이무기잖아ㅋㅋㅋㅋ
550,"회장님 실눈캐다.
조심해 하리야"
551,이게 찐사랑이 아니면 대체 누가 찐사랑이냐?
552,"할아버지가 막내가 되는게 아니라 련,륭구,준웅 중에서 준웅이가 막내인거에요"
553,히아센 어떻게 그 몇마디로 자수할게 란 말이 나오게 만들지?
554,눈은 란을 닮고 머리카락은 세니카 닮고...완전 히아잖아♡♡♡
555,워메ㅋㅋㅋㅋㅋㅋㅋㅋ 설이 따라 입다가 인하 만나게 생겼네ㅋㅋㅋㅋㅋㅋ
556,아냐 이번엔 들키지 마라 보는 내가 쪽팔린다
557,아내 안 죽이면 애들은 못 구하고 바로 감옥행인건데 어떻게 되려나...ㅠㅠ 
558,아. 복아 이 귀염둥이 같으니. ㅋㅋㅋ
559,여러분 호선이랑 이경이 대화하는 장면 보세요 호선이 눈 통통 부웠대요~ 호선: 왜구래?(3_3 눈퉁퉁)
560,아무리 봐도 토끼놈들이 나쁜놈들 같음 정신지배 물약을 쓴다던가...
561,더이상 미리볼수가 없어
562,와 진짜로 사형수에 끼워넣어 죽일려했데... 무서운놈들 진짜로 쓱싹해버리려하네ㅋㅋㅋ
563,아메리카노 아저씨 수상해 발암냄새가
564,궁금해서 쿠키썼더니 더 궁금한데서 끊겨버림
565,추국 아무리 봐도 디오니소스 같아....
566,"베댓보니까 그거 생각남ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
어떤 사람이 댓글에다가 '10년 연애 아무짝에도 쓸모 없다. 세븐이랑 나얼봐라.' 라고 썼는데 
그 아래 댓이
'세븐이랑 나얼 사귀었어요?' ㅇㅈㄹㅋㅋㅋㅋㅋㅋㅋ"
567,경환이 매번 김상철 오면 설이 가드해주는거 발림포인트ㅜㅜ
568,왜 몬데 ㅠㅠㅠ 문자는 보여주고 끊쟈요
569,"출발점이 다르니 용비가 더 센편 아님?
용비는 두둘겨쳐맞고 그다음에 정신잃은 상태로 명치맞고 해서 디버프 받았는데
구휘가 아무리 얕봤어도 몇타 맞고는 진심으로 싸웠는데 근소한 차이로 저러는거 보면 100번 싸워서 용비가 더 많이 이길 느낌"
570,뇨니냐냐 ㅠㅠ
571,존대하다 반말 쓰지마. 내 심장이 안남아나잖아
572,그렇다면...  나는   ..   느리다!!!!!!!!!!
573,"아니... 다들 너무해ㅠㅠㅠ 저번에도 말했지만 나는 바름이가 계획짜고 실천하고, 그걸 다 이뤘을 때 얻는 뿌듯한 감정들 느끼고 하는 바름이 모습이 너무 올곧고 예뻐보이고 그랬는데!! 그게 바름이 장점이기도 하고.
근데 주변에서 계속 융통성 없다 빡빡하다 로봇같다 하면.. 올곧은 아이도 그 말 계속 들으면 당연히 흔들리지..왜그래ㅠㅠㅠㅠㅠㅠ 속상해.. 오늘 바름이 뭔가..ㅠㅠㅠ 내가 다 속상하다ㅠㅠㅠ"
574,와 미친.. 그래서 결국에 과거시험 보러가서 마을로 돌아오는데 그 장사를 만나고 마을은 이상하게 되고 지금까지 일을 겪었다는거네 근데 진짜 옛날 남녀차별을 제대로 보여주네요 여자는 노력해도 과거를 볼수없다 한편으론 찡하네요 ㅠ
575,강민선배 눌러
576,저...저 또라이 놈 지금보니까 무단침입에 절도에....
577,잠만.... 오영곤 핸드폰 사진들 상태가..???
578,다정이 그래서 목적은 뭘까 아 진짜 미치겠다
579,치명적인 외상과 내상을 입힌다는 은택이에겐 왜 집중 안해주시죠????? 아 진짜 은태깈ㅋㅋㅋㅋㅋ
580,아 얘내 진짜 친한가봐ㅋㅋㅋㅋㅋㅋㅋㅋ 저정도면 혈연이다ㅋㅋㅋㅋ
581,"도운이는 가문을 위해서 황녀를 정치적으로 이용해야하는 입장이니 사랑놀음따위는 하고싶지 않은데 웃는거 보면 홍련에게 저도 모르게 끌리니까 일부러 모질게 구는거네요.
서로 특별히 모난데 없는 사람들끼리 같이 지내면 어쩔 수 없이 정이 드는 법이니까요."
582,저거 백인하 아냐? 걍 백인하 번호 알려줬는데 고니가 북치고 장구치고 한 거 아님?
583,저런남자 극혐.. 아무한테나 들이대지 마라...
584,순주 직장이랑 알바 병행하는줄 알았는데 갑자기 잘린거였네..ㅠㅠㅠ
585,? 뭔가 어머님 성격하고 센 성격하고 판박이 같은데
586,"애초에 김상철 놈이 유정을 한 번이라도 인간적으로 좋아했다는 느낌은 작품 내에서 한 번도 본 적 없음. 김상철은 자기에게 이익이 되면 헤실거리고 아니라면 바로 버리고 그럴 놈이라, 애초부터 인간 대 인간으로 연을 만들 수 없는 놈이었던 거임. 계산적 인간을 싫어하는 유정과 관계는 다시 태어나도 연을 못만들 인간. 유정이 정말 싫어하는 타입이 김상철 같은 타입이기도 하고."
587,쟤는 저렇게 쌔면서 왜 저런 범죄자 집단 꼬붕 짓 하고 있는걸까.... 약점이라도 잡힌건가?
588,"안녕하세요, 작품에 등장한 주인공이 다니는 백화점은 아니지만 아울렛에 근무하는 사람입니다. 이 편을 보고, 저를 보는 거 같기도 하면서 주변에 일하는 다른 브랜드 직원들을 보는 거 같아요. 영업시간은 아침 10시 반부터 밤 9시까지 하는데 그 긴 시간에 하루하루 정말 기 빨리는 날이 많습니다. 현재까지 신경질을 부리며 억지로 환불 요청 하는 고객은 없었지만 가끔 어이없는 일들이 간혹 나타나고는 합니다. 옷을 샀는데냄새가 난다며 환불이 오거나 (다른 직원들에게 맡게 하였는데 아무 냄새도 나지 않는다 했습니다...) 실밥이 조금이라도 나왔다며 환불을 요청하는 경우도 있었습니다. 매대에 옷들을 엉망으로 하는 건 하루에 수십번이 나타납니다. 이런 힘든 일이여도 항상 수고하라는 말을 해주고 고객님들이 계셔서 버틸만 하다는 생각을 가집니다ㅎㅎ 의류가 아닌 다른 판매직 분들도 힘내세요!"
589,"이건 주인공의 문제가 아니라 저 세자가 나라 맡으면 망할듯,,,,,,"
590,이렇게 독자를 들었다놨다하는 캐릭터는 니가 처음이다ㅋㅋㅋㅋ 
591,"ㄱㅡㄴ데 ..유정이닮아가는건 좀그렇다쳐도.족보훔친건 결국도둑질인데
범인잡는건 나쁘지않자나?ㅡ.ㅡ?나만그렇게생각하나?"
592,"그깟 강아지라니...ㅋ
정말 사람이 하는 소린가 훈이 라는 사람한텐 
소중한 가족일텐데 남의 가족을 자기 일 아니라고
멋대로 얘기 하는건 정말 아니다.
나도 강아지 잃어 버렸을 때 밥도 안먹고 학교끝나면
바로 강아지 찾으러 갔는데....
결국 찾긴했지만 남의 가족을 동물이던 사람이던 어떤것이든간에 자기 마음대로 얘기하는건 얘의 없고
싸가지가 없는거다"
593,저분 성씨가 강아지 강씨라면서요?
594,다시 보니 알겠다 아무리 외쿡인처럼 생겨도 무슨 일있음 밥 한 번 사라는 저 기적의 논리... 백인호 당신은 찐한국인이아
595,류혜진어 해석= 니 회사 앞가림도 못하는 주제에 여기저기 엔트란스 뒷담화 까지 말고 니 앞길이나 닦아
596,아 설이한테 보라마저 없었다면..진짜 끔찍 ㅠㅠ
597,아니 원조교제하는 년 머리에 든거없는 년 소리들으면서 멘탈말짱할 사람이 어딨어요 그런척하는거지...골빈년이 왜나와요?
598,여기서 정우하고 숙희하고 연결되나보다 역시 슈퍼스트링 메인은 테러맨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
599,헐 베댓보고 립글로즈 광고인거 첨 알았네.... 정주행 엄청 많이 했는데
600,작가님  끊는거 보소ㄷㄷ  이러니 쿠키를 매주 굽죠..
601,스프라이트 샤워 할래요?
602,정말 귀안이 그동안 쌓아 놓은 게 많아서 다들 도와 주는 것 같네요. 나중에 젊은 시절 이야기도 따로 그려 주셨으면 좋겠어요.
603,이무기 너무 안쓰럽고 강유 진짜 좋아하나봐.... 그렇게 되고싶은 용도 포기하고 깡철이로 되 희생으로도 강유 도와주고싶어하는데..... 안쓰럽고 ㅠㅠ 행복해졋으면 ㅠㅠ
604,아 유정 설이가 배 꼬집을 때 놀란거 너무 귀엽닼ㅋㅋㅋ
605,역시  빠르 양아치 성향 ㅋㅋㅋ 가우리 먹여보고 먹은 듯
606,한설이한테도 각인새겨진겨?
607,진짜 딸이 저렇게 싫어하는데 전세금까지 빼돌려서 돈을 주고 싶을까
608,도촬은 불법입니다.
609,"와 ㄹㅇ 용비 명언 
후회한다는건 그때의 감정마저 부정하는것이다 ㄹㅇ지렸다"
610,작화 레알 오진다 진짜.... 흑색창 기병대 박력과 위엄을 한화에 다 보여주네. 그리고 저런 명령은 부하들의 절대적인 신임이 없다면 하지 못할 행동이지. 누구하나 불면 안되니...
611,"갑연이가 말하는 '그 순간'이 오면 들어줄 부탁이라는게 신룡 죽여달라는거 아냐..? 현재 신룡은 춘매와 비슷한 백매의 외적 모습 때문에 옆에 두고 있는거니까.. 어차피 인간은 늙을테고.. 아름다움을 잃게 되는 순간이 오면 신룡은 백매를 버릴 수도 있다는 생각에 갑연이한텐 신룡이 거슬릴 수도 있을 것 같음.. 뭐, 신룡 안거슬리는 자가 없겠나만,, 아 그리고 작가님 중간에 암주 상처 사라져써요!!!!"
612,그냥 1위가 아니고 압도적인 1위였네. 초기화되고 맨탈 유지했다는게 놀라울 정도;;
613,바름이 이와중에 순수한 마음에 유통기한 늘릴 수 있다고 말 하는 것 보소 ㅋㅋ귀여웡
614,진영인가 뭐시기 성격 별로였네;;진짜 지 잘못은 쏙 빼놓고 넘어가버렸네ㅠㅠ 저렇게 치졸한 짓 했으면서 미안하지도 않나? 하긴 미안함을 못 느낄 애니까 그런 짓도 했겠지만...
615,"원장이라는 인간은 건강 챙기느라 잘 먹고 있다면서 나나는 죽기 전 영양실조 증상까지 있었다니...
수용소 같은 시설에 아이들 몰아놓고 설마... 
ㅠㅠ;;;
"
616,남은 월급 털어서 산거 ㅋㅋㅋㅋㅋ 왜 이부분만 현실반영인데
617,아아... 서브병 도진다...ㅜㅜ
618,새이같은여자애들은 절때 안변함ㅋㅋㅋ지가 뭘 잘못했는지모르거든
619,광고:모를줄알았는데 유감
620,헐 저남자애 21화 마지막컷에 나온 남자애같은데? 재영이 괴롭혔던....
621,그러게 어디 고시원이랑 다르게 가족같네ㅋㅋ
622,이 쯤되면 태호 시력이 궁금해진다..제발 눈 좀 ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ
623,친구들 가둬놓은거 겁나웃기넼ㅋㅋㅋㅋㅋㅋㅋ 생원이 입장에서는 안 다치길 원해서 그런건데
624,견우야ㅜㅜㅜㅜ 미쳣다ㅜㅜㅜ왜이리 귀엽냐고!!!ㅜㅜㅜㅜㅜㅜㅜㅜ
625,"강아지도 고양이도 또 다른 동물둘도 다 감정이 있고 다 기억 합니다.
동물이고 말못한다고 학대하지마세요...
다 기억해요. 동물들도 감정이있습니다. 말못할뿐 사람과 다를게 없어요."
626,유정이 아버지도 멈칫하셨음 ㅋㅋㅋㅋ
627,윤간 : 한사람을 여러명이 강간함
628,엥. ..궁사람들 홍련이 능력있는거 모르나. .다 디지고싶냐...
629,"＼○へ   へ○ヘ    く○/     
ヘ / 　　     ( ヘ 　     ( ヘ          
　　>　    <　　       く
그래 침대도 넓은데!"
630,"토
요
일
까
지

어
떻
게

기
다
려"
631,엥 배뎃이 없네? 저를 배뎃으로 추대해 준다면 마지막화까지 달리겠습니다!
632,저기 세명중 한명은 여자아닌가.. 다들 셋다 남자라고하시네..
633,자 재수없는놈이 이상한 짓 하겠네 에휴 그지같은놈
634,능숙한데 순수한 남자라니ㅠ 이런 건 판타지라고ㅠㅠ
635,헐...그럼 아저씨가 부실공사 다막아주고 아픈애 기부해준거임???????
636,저거 저번에 애새끼아님? 어휴 거참 징하다;;
