,high_comment_True
728,와 유미 미쳤다ㅋㅋㅋㅋ
729,"깨부순건 유정의 전리품, 박제나비액자, 싸인야구볼, 자동차, 악보, 시계 등등 모두 유정의 설계에 넘어간 사람들이 탐냈던 물건들입니다. 의미 있는 깨부숨이죠"
730,"내이름은 홍화, 탐정이죠"
731,집사 온갖 걱정해주는 척 하다가 이번에 본성 드러났죠?
732,야 이ㅆ
733,"설마 저 인간이 엉켜있는 것이 강남이가 검은 인간을 방패로 사용하여 자신과 할아버지, 장서호를 지킨건가???"
734,순주도 귀엽고 바리도 귀엽고 다 귀여워... 작가님 전작에서도 그렇고 독자들이 뭘 좋아하는지 너무 잘아셔
735,랑또님은 동물들을 참 귀엽게 잘 그리시네
736,저렇게 치고박고 싸워대도 나이먹고 웹툰 고수에선 둘이 금송아지 주고받는 술친구ㅋㅋ
737,"이제 초아랑 수영이가 확실히 썸타는 거 같네ㅠㅠㅜㅜㅜ
귀여운 짜식들"
738,오늘은 큐띠뽀쟉 춘배를 많이 봐서 너무 행복하다 .. 캬..
739,설 인하 케미도 좋다ㅋㅋㅋㅋ
740,저 여자애는 착했으면 좋겠다.... 
741,아진짜 이무기 차가운도시남자지만 강유한정 따뜻한 다정공느낌 아녓냐고 ㅋㅋㅋ.ㅋ.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈물 퐁퐁 떨구는거 개기여ㅝㅜㅠㅜㅜㅜㅜㅠㅠㅇ
742,지금있는 분홍머리여자는 백매고 저 분홍머리여자앤 춘매인게 저때 죽어서 그런ㄴ건가..
743,와 다정이 저렇게까지 팰줄은 몰랐는데 놀라웠다 ㄷㄷ.. 속 시원하고 요한이는 왜케 섹시하냐
744,살면서 니가 최우선이라는 말을 들으면 얼마나 벅차고 기쁠까...설이가 그동안 가장 바랬고 듣고 싶어했던 저 한마디를 유정이 해주네 진짜 설이한테는 최고의 한마디다
745,백인하가 사진 찍은 거고 저 자리에서 유정이 찍고 있었던 것 아닙니다~~! 사진 찍은 폰 자체를 유정에게 준거에요~
746,여우 피해왔더니 호랑이가...!!!
747,영광이 경상도 출신인갑네
748,남친있는사람 좋아하는건 죄가 아니지만 새이처럼 뺏으려고 하면 문제가 되는거죠. 앞으로 유바비의 행보가 기대되네요.
749,만약을 위한 대비는 다 해놓고 빨간망토에게 엿주시네.
750,근데 스토리상 저 여자가 누군지 스포 안해도 눈치가 딱이고 척이지 않습니까 ㅋ
751,이런여주 처음이야..똑부러지고 자기 생각이나 감정을 대하는 태도도 확실하고 생각도 곧고 바르고 어디서 이런 완벽한 여주가 나왔지..너무 맘에든다 ㅜㅜ
752,ㅋㅋㅋㅋㅋ 둘이 진짜 보기 좋다
753,저 쇼팽 그냥 열등감에 쩔어가지구... 남의 인생을 박살내놨네
754,그런다고 화난 게 풀릴 거라고 생각한다면 크나큰 오예...ㅎㅎㅎㅎㅎ
755,가장 중요한건 이번화의 제목이 '덫' 이라는 거지. 저 이단 마법사들이 미끼 인가... 그 덫으로 잡으려는게 무엇일까 그리고 덫을 놓는 자가 누구인가가 오늘의 코난이 추리해야할 내용이다!
756,그래도 땡전 총리가 뒷일 꾸미는거 아니면 다행히 좀비는 안되겠네. 말투가 아직은 아끼는 모양새임.
757,근데 저거 옴뇸뜌땩하게 그려져서 그렇지 실이 제 맘대로 움직이는거 개 무서운거 아니냐?
758,어릴적사진 너무 현실적이얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나보는줄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
759,"뭐, 미모? 닥쳐 머리 푼 러브미가 제일 예뻐"
760,ㅋㅋㅋㅋ돈 단위가 유미야?ㅋㅋㅋㅋㅋ
761,"수빈이는 명품에 슬슬 관심 생기면서 돈 쓰는게 커질거고 영재도 이전 공장에서 받던 수준으로는 만족하지 못할거고 양쪽이 이제 버는 돈에 대해 원하는게 커질텐데.. 
친구사이간 사업하면 99% 돈 문제로 깨지는데 수빈이랑 영재 둘다 돈욕심이 커지면서 둘 사이에 금이가는건 더 빨라질듯.
친구사이에는 돈 관계 없는게 좋고 정 하게되면 명확하게 계약서 등으로 명시해야하지만..

자기가 직접 돈 쓰면 부담될까봐 동생에게 시킨 영재가 스스로 웹툰작가라고 말할 정도면 정말 많이 좋아하는거 같은데, 표현하는게 서투르네요.
영재가 점점 마음에 열면서 땅을 뚫고 싹을 틔우는것과
수빈-영재 사이가 점점 금가면서 아슬아슬해지는것 때문에 다음화가 기다려짐"
762,"치트가 '딸기맛'을 좋아하게된이유를 알겠군요.
좀 억지일수도 있지만 패치에게 모욕감을 받고 패치의 머리가 빨간색인걸 보고 빨간색인 딸기를 얘기한것 같습니다. 딸기맛과자처럼 씹어먹겠단의미..ㄷㄷ"
763,뾰족한걸로 위협하면 젠틀하다..메모해둬야지
764,세상에 이렇게 되면 우암은 질투해서 무기 떨어트려 놀꺼고...! 솔직히 우암 강유가 더 좋아서 둘이 잘됬음 좋겠지만 무기가 어떻게 할지 모르겠어ㅜㅜ
765,흑역사에 고통받는 유정 ㅠㅠㅠㅋㅋㅋ
766,아빠 그만 괴롭히라고.
767,불가살: 할아버지! 제가 돌아왔어여 멍멍!!
768,윤재 캐스팅해서 5인조 그룹만들자~ 혁거세 출동~
769,나이를 허투로 드신게 아니었군요 ㅋㅋㅋㅋㅋ
770,설이 뜻하지않은 선물같은거 받을때 이걸 나한테 왜?같은 고민 계속하고 부담스럽다고 거절하고 이랬는데ㅠㅠ감사하다고 인사하며 받게되는게 이 둘의 발전이 보이는거같아서 넘 좋아요ㅠㅠ
771,가시나 이쁘긴하네 근데 싹쑤가없넹
772,ㅋㅋㅋ 루비 귀여워 보인다 새이년 땜에
773,저거 셀카찍은거 인터넷에 퍼져서 결국 잡히겠네ㅋㅋOOO 꼴좋다
774,실제로 저러면 현실은 난리난다
775,체력 3급인 여자가 그럼 어떻게 생겨야 하나ㅋㅋ 배구선수들 덩치 보고 오세요..
776,너무귀여워 이것밖에 할말이넚다
777,진짜 고수보고 지렸는데 용비불패는 고수랑 비교도안되게 재밌다
778,저도 용비불패의 대단한 점이 그림체도 물론이지만 탄탄한 스토리와 파워밸런스라고 생각합니다. 누가 누구와 붙어도 쉽게 승부를 예측하지 못하는 전개가 대단한거 같아요.
779,피지컬 텐션 오진다... 한나야 옆에 누웠는데 잠이 오니 ㅜㅜ
780,기름묻은걸 피로 보고ㅋㅋㅋㅋㄱㅋㅋㄱㄱㅋㄱㅋ혼자 놀라고 웹툰분위기보고 놀람ㅋㅋㅋ
781,유정의 다양한 표정 볼 수 있어서 다행이야... ㅠ ㅠ ㅠ  아 이번 화는 넘 달달하기도 했고... 유정이 정말 설이에게 마음을 열고 있는 느낌이라ㅜㅜㅠ
782,'그럼 내가 길드 뒷바라지나 하다가 저절로 아크메이지가 됐다고 생각하는 거냐' 라는 말 듣고 영감님이 여태 보여준 모습처럼 좋은 삶만 살진 않으셨단 걸 느낄 수 있다. 그래도 여태 해온 행적들을 보면 인간적이다는 느낌이다
783,보미가 과탑이라니 최고의 반전이다...
784,서브 합격입니다. 이율씨
785,괜찮아 스킬만 나가면 됐지
786,술도둑이 고수에서 결계펼치던 사람이잖어??
787,그와중에 연화 불쌍햌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ혼자 택시타곸ㅋㅋㅋㅋ
788,"이때는 용비가 흑산포 구룡아 쓰려면 봉도 이리저리 돌리면서 준비동작도 꽤 길었는데
고수에서 흑산포 구룡아 시전할 땐 무슨 평타마냥 순식간에 쏴버리는거 보면 이 당시의 용비랑은 비교도 안 되게 강해진 느낌이네요. 하기야 외전만 봐도 이때보다 훨씬 강해진 것 같긴 하지만요. 신선림에서 익혔다는 선도술이 용비가 강해지는데 얼마나 영향을 줬는진 잘 모르겠지만 파황신군도 40대 때에는 지금의 상관책보다 약했다는거 보면 이미 고령인 고수시점의 용비 구휘는 얼마나 강할지 ㄹㅇ 짐작도 못 하겠음...
"
789,검성이의 순탄한 연애를 기원합니다. 근데 첫 단추부터 안끼워지잖아? 안될꺼야 아마.
790,"해맑게 상처를 주고, 너무나도 해맑게 상처 받은 사람을 대하는 행동 너무 나쁜 것 같아요ㅠㅠ 진짜 저런 애들은 제발 나중에 꼭 똑같이 되돌려 받았으면 좋겠어요 현이가 계속 행복했으면ㅠㅠ"
791,설마ㅜㅜ강림칼로 염라대왕님 베는건 아니겠지?ㅜㅜㅜ
792,여동생을 잘 챙기고 군필이다? 완벽 그 자체
793,"얼굴 표정 담당-최강희

싸움(참교육) 담당-할머니

광고담당-문구점 오빠야(교장선생님)"
794,사자인형 진짜ㅋㅋㅋㅋㅋㅋㅋㅋ너무 귀여워ㅠ
795,아 백인호.. 백인호 백인호 백인호 졸라 좋아서 미칠 것 같다. 무식하게 힘이 센 것도 좋고. 은근히 눈치 빠른 것도 좋고. 저런 일에 팔 걷고 나서주는 것도. 배려심 많은 것도. 은근히 노력파라는 것도 열정적인 것도 너무 좋다. 아 진짜 난 영원한 인호파야.. 너무 좋다ㅠㅠㅠㅠ
796,단장 강하네? 노래 부를 때 바이브레이션 넣는 다는게 특징이라고 말한건 외계인들 사이에서 초능력이 인간 사이에서 바이브레이션 능력 가지고 있는 것만큼 흔해서 그런건가
797,와...와 진짜 연출도그렇고 이야기도 그렇고 너무 좋다. 늘 좋은만화 그려주셔서 감사합니다. 세상이 행복해지는 기분이에요
798,와 미쳤다 그동안 웃어 넘기고 힐링요소로 넘겼던 장면들이 그냥 죄다 복선이었어............ 아 작가님 최고예요ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ
799,"소원 : 100살이 되서 죽을때까지 같이살아요


면좋겠다"
800,진짜 비현실적인거 아는데 매번 볼때마다 너무 행복하다......
801,세포들보면 스머프 보는거같다ㅋㅋㅋ귀여워ㅋㅋㅋㅋ
802,"클로드하고 라일라 서로를 위하네
저번에 아샤땐 클로드가 라일라살리고
이번엔 라일라가 클로드를.."
803,와. 작가님이 수아를 일제강점기의 조선 그 자체로 표현하신 것 같다. 한글을 빼앗기고 목소리를 빼앗긴 우리나라를. 독립운동가들이 나라를 지키고자 하는 마음을 로맨스 스토리로 만드신거네.. 겁나 낭만적이다. 
804,"하..새로운  에피소드에서 중열이얘기하면 예의가아닌것같지만.. ㅜㅜㅜ진짜최애였는데이렇게 집안사정이나 학우문제나 짠내나게 끝나서 슬프다ㅜㅜ..하ㅜㅜ..중열이..중어ㆍㄹ히,.ㅜㅜ..중ㆍ여니..ㅜㅜ.,하..."
805,저 두명 붙여두니까 왜이렇게 형제느낌나죠...
806,옆동네 고양이는 전화도 하던걸...연락쯤이야...
807,왜... 안달달하지.... 왜 달달해야 할 장면에서 묘한 긴장감이 생기는거야...?
808,"여태 게임을 진행하면서 단 2명 = 한라 포함 3명,
그중 가장 큰 적은 신우."
809,"기신이 애기 손 잡아주는 거 봐ㅠㅠㅠ 혹시 소외감 느낄까봐 그랬나. 아 진짜 이 만화 설레는 장면 한 두개가 아니다....
삼신도 되게 무서운 쪽으로 꼰대일 줄 알았는데 신랑감 얘기하니까 꼰대는 꼰대인데 뭔가 안심되는 꼰대고...(어쨌든 비나 파이팅)"
810,"이번화로 나온 떡밥
1 낮주인은 만산이 절대 아님(은재네 아버지가 하리를 아예 모름)
2 이판을 뒤집을 수 있는 것은 하리일 거같음
3 장난감을 가진 사람이 왕자일 듯
하리야 소원 화이팅ㅜㅜ"
811,황실에서도  무림비급과  견줄정도의  무공은 많습니다.  고수들도 있구요.   황실과  무림은  군대와   프로격투가 정도의 차이가 난다고 생각하시면 되겠습니다
812,보면서 눈시울이 붉어졌어요... 꼭꼭 닫고있었고 숨겨놓았던 것들이 갑자기 왈칵 터지는 느낌이네요.. 당겨! 당겨! 하는데 귀엽다가도 마지막에 현이의 감정선이 마치 나같아서요..
813,아 ㅠㅠ 할때 유정 개귀여워ㅠㅠㅠㅠㅠ흐얽..
814,무슨짓했는지 까먹어서 전편 보고온사람
815,물의 신은 까다롭다죠
816,아아... 호랑이랑 결혼하고싶다...?
817,그래도 해피엔딩
818,그냥 한국에 오세요.
819,"다음화에 단아가 혜성이 보고 또 실물대박!! 했다가 견우가 질투할 각
은 희망사항ㅎ"
820,"다정이랑 요한이 둘이 부부되서 부부싸움하면 볼만하겠다ㅋㅋㅋㅋㅋ
서로 팩트로 조지는 사이ㅋㅋㅋㅋㅋㅋㅋ"
821,"난조
고대 중국에서 신성한 새로 여겨진 봉황(鳳凰)의 일종. 봉황과 똑같은 모습으로 몸도 다섯가지 색깔로 꾸며져 있지만, 전체적으로 푸른색이 깃들어 있는 것을 난조라고 부른다. 중국 변경에 많이 살고 있다는데, 평화로운 시대에만 나타난다고 한다. 난조의 알에는 특별한 양분이 포함되어 있는데, 『산해경』에는 중국 남방에 있었다고 전해지는 우민국(羽民國)의 사람들은 난조의 알을 식용으로 사용해서 모두 신선처럼 건강하고 장수를 누렸다고 씌어 있다.

네이버 환상동물백과"
822,준원선배가 인연인건가.....??!
823,하고싶었던 말은 너랑 있어서 좋았다 가아니라 너가 좋아서 모든게 좋았었다 일텐데
824,소방경이 빡세게 훈련시키는만큼 뒤를 봐주네
825,역시 악마의 농땡이는 몇천년인가 ㅋㅋㅋㅋ
826,하단에 보너스 만화가 오디..?
827,설이애비 나대지말고 집에 가서 자라
828,"전에 인호가말했죠 어차피 조금 데리고다니다끝낼거라고
고등학교때도 그런적이있는것처럼요 아마 먼저고백을받고 거절하면 시끄럽고 귀찮을까봐 잠깐 데리고다니다 정리했을거같네요
근데 홍설의경우는 먼저 다가간것도 유정이고 고백도 유정이했습니다 유정의 인간관계에서 예외적이죠 마지막장면은 완벽하고 어른스러운유정에게도 어린애의 소유욕같은점이있다는것을 보여준것이아닐까싶네요"
829,어떡해 4호가 한나 사랑하나봐ㅠㅠ
830,내 상사앞에도 나타나주세여..
831,손가락 미끄러져서 보이스톡신청
832,망냥아... 다리는 니가 잘랐잖니.....
833,마야 체술이 저리 좋은데 센한테 한방에 나가떨어진거면 대체 센은 얼마나 강한거야
834,지금 류민이가 맛집 고르는 거에여??????최애가 날 위해 인터넷 서핑을 한다니 엉엉어ㅓㅓ어어엉엉ㅇ
835,냠냠 까까줄까랰ㅋㅋㅋㅋㅋㅋㅋㅋ 베댓님 그정도면 애취급이 아니라 반려견 같은디요... ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ
836,"견우도 홍시 많이 좋아하는 듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아직 인지하지는 못하지만"
837,으흥ㅋㅋㅋㅋㅋㅋ심장두근대는게 드럼ㅋㅋㅋ개귀엽ㅋㅋㅋ
838,달팽이 다시보니까 개웃기네 ㅋㅋㅋㅋㅋ 이때 달팽이 하나로 유정이 달팽이를 죽였다 어쨌다 완전 난리였는데 ㅋㅋㅋㅋ
839,성은이 학원사람들 말만 듣고 그냥 설이랑 인호랑 당연히 사귀고 있을거라 생각하네..
840,중간에 나온 소설얘기 이 웹툰이랑 전체적인 내용은 복선으로 비슷할거같은데 그 작가님 소설보다 꽁작가 소설이 더 좋다고 한게 결말은 약간 다르게 풀리지않을까싶음
841,구휘는 비룡이가 밥먹여준거 기억하려나ㅎㅎㅎ
842,학창시절때 꼭 저런 친구 있음
843,"여러분.... 소개를 보세요... 웹툰 소개를... 

신비한 힘을 가진 아이를 이용하여 세상을 지배하려는 반인반수 흰눈썹!
그리고 얼떨결에 아이의 보호자가 된 괴물호랑이 빠르와 착호갑사 지망생 가우리!
이제 힘을 합쳐 흰눈썹으로부터 아이와 세상을 지켜라!!!

흰눈썹 이래도 착한놈이라고 할껀가여...."
844,"친구랑 심야에 편의점 가는 길에 친구가 갑자기 ""야 횡단보도 가운데 가보자"" 이래가지고 ㅋㅋ 갔었는데 뭔가 친구 목마 태워줘서 뛰어댕기면 재밌을거 같아가지고 ㅋㅋ 친구 목마 태워줫는데 멀리서 비명들리더라고요. 

???:우와앜!!! x발!!

미안합니다 많이 놀라셧죠..."
845,"이거 아마 분노아님 질투 각임 
ex)신후 가 저여자 좋아하게되는데 저여자 태후? 노랭이 좋아해서 질투하는걸수도"
846,그래 전날 그랬으면 힘들만 하지...크흠
847,안쓰럽 ㅠㅠ 탁무이 와서 쓰담쓰담해주면 좋겠다~~~
848,저런 일이 있었는데도 둘이 같이 하교하네 ㅋㅋㅋ
849,3호는 누구져...??
850,서로 약간 환상에 젖어있는 채로 시작하는듯...
851,둘다 내 친구인데 둘이 사귀는거 은근 신경쓰인다.. 셋이 놀았는데 이제는 내가 눈치봐야하고 행여나 끼면 눈치없는사람같고 친구두명 동시에 뺏기는 느낌이랄까 기분 묘해진다....
852,비겁하게 뒤에서 안죽일려고 화살로 기 드로내는거...졸 멋이다..
853,오이냉채 육개장ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
854,작가님 나중에 단행본내실때 외전으로 도치경의 식도락여행 진짜 만들어서 내주시면 사시는곳으로 절하겠습니다
855,와 신룡 그래도 하난이 아끼나보다......저렇게 당황하는거 보니까 진심으로 하난이 미워하진 않는듯...작가님 하난이 꽃길만 걷게해줍시다..ㅠㅠ
856,아 순정이 너무 귀여워요...
857,아마 계화 하면서 인격 자체가 바뀌는듯함. 인간의 다중인격처럼? 고로 사랑합니다
858,"아닠ㅋㅋㅋㅋ 빨간머리 논리 갑 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아버지는 택시 드라이버 나는 나비 1+1= 귀요미 ㅋㅋㅋㅋ
이러고 있어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
859,수족냉증이 얼마나 심하길래 시원해ㅋㅋㅋㅋㅋㅋㅋㅋ
860,앞머리가 있든 없든 웃는게 너무 예쁘다
861,술에 취해 정신이 없는 와중에 설이에게 답장하고 골아떨어지는 모습... 유정의 모든 것이 설이를 사랑하고 있다
862,야아...바비 센스♥
863,저게 유정잘못이라고 생각해?ㅋ ㅋ 다른데서 본인 아빠한테 후원받는애가 친자식보다 예쁨받을걸?ㅋ 이라고 떠벌리고 다녓다구 들어봐 장난같을까?
864,"주인공이 최강이였음 좋겠다 
지는일 없으면 좋겠다
맞지도 않았으면 좋겠다
그냥 넘사벽 최강이였으면,,,,,하"
865,조류를 멸종시킨대ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 진짜 그럴 것 같아
866,적어도 호선이를 문 사람이 봉원이 본인 혹은 주변인인건 확실하네요.. 이경이도 봉원이도 호선이가 마음의 숙제인가봐요ㅜㅜ 호선이가 스스로 자신의 마음의 숙제를 극복해야 이경이와 봉원이도 비로소 벗어날 수 있을듯..
867,오늘은 백한 편들어줄거야. 말리지마.
868,선물이 회사였다니 트루럽이다.. 이무기 처음엔 그저 호기심으로 강유를 지켜보다가 점차 사랑으로 변한거구나.. 그리구 강유에게 도움이 된다는 소리로 이무기에게 더이상 상처주지마요 설악늼 ㅠㅜ 이무기 제발 행복해지기를..
869,아 진짜 ㅋㅋㅋㅋㅋㅋ 애용이 이모티콘 또 만들어주세여 작가님
870,"'이상한 애'가 되지 않기 위해 노력해왔지만 결국 아빠는 날 이상한 애로 낙인찍어버렸고, 그 낙인의 이유는 유일하게 맘을 열었던 친구 때문이라는 걸 알아버린 정이... 인호에 대한 건 오해도 있겠지만... 정이의 좌절감이 느껴져서 이 편 너무 맘아파ㅠㅠㅠㅠ"
871,정말 대놓고 인상쓰는 유정...짜릿해
872,"소제목 관계의 방향....서로 다른 메세지 동시에 온것보니
결국 설이는 유정한테, 인호는 피아노로 간다는 뜻인듯"
873,저 세명이 고수에 등장하는 세 늙은이가 맞나  ㅋㅋㅋ
874,님들 꼭 브금 틀고 보세요;;;; 몰입도 장난아닙니다;;
875,그와중에 라이브방송 댓글들 다 현실적ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
876,잡슼ㄱㅋㅋㅋㅋ 철수 뭐야 왜이리 귀여워ㅋㅋㅋ
877,눈 겁나 섹시하고 저 손가락도 길고 예뻐서 좋다 흐아...
878,오  짜식 오랜만에 나와 기특한 일을 하는군
879,옷에 뭐가 묻었다면 벗어서 세탁기에 넣어야죠?ㅎㅎㅎㅎㅎ
880,응큼이 인생 최대의 힘을 내고있다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
881,근데 유정 자기 아빠랑 똑같은 짓 하는 거 아닌가.. 그렇게 감시당하는 거 싫어했으면서 결국 주변 인물들로 설이 감시 중이잖아 그것도 자연스럽게.........
882,불쌍하다것에 취해 잘잘못을 따지지않은 커플과 따진커플의 차이겠지요 참 저 주용이의 대사들이 슬펐었어요
883,개그프로그램보고 현타왔어요... 외모지상주의가 그만큼 만연하다는 거겠죠..  마음 아파요
884,"유일한 치료제인 화분 깨진거임 그래서 치료제가 없는거고
"
885,유전 완전 표정이 나 잘했지?^___^야 ㅠ 흑ㅍ대형견아 ㅠㅠㅠ
886,허조교랑 주용이 진짜... 현실에 구질구질한 연애 ㄹㅇ로 너무 잘 표현한 것 같다... 고시생이랑 조교라니 이게 무슨 눈물나게 힘든 조합...
887,"왘ㅋㅋ유미겁나천재넼ㅋㅋㅋ
새이에게 복수 하니까 독자들의 마음은 시원시원"
888,아니 왜 아무도 팔 박살났다는 작가님 걱정 안 해요 ㅜㅜ 작가님 성실연재도 좋지만 무리하시지 말고 건강 챙겨가면서 하세요ㅜㅜ
889,ㅋㅋㅋㅋ아..유정...매력적이야....말빨로 백인호를 이겨버렸으 ㅋㅋㅋㅋ
890,근데 정이랑 설이 둘 다 주말에 인강듣고 봉사활동하고 진짜 성실해 괜히 수석차석이 아니야
891,설이랑 자기는 같은인간이라고 말했던 유정이 이젠 다름을 인정한다 말했던..다시봐도 기억에남는화
892,ㅋㅋㅋㅋㅋ이렇게 자연스럽게 들킬줄이야
893,슬슬 귀신들 얼굴이 친근하게 느껴진다ㅋㅋㅋ
894,사랑이 손등에하는거 싫어할까봐 맛보기로 손감싸서 자기손등에 키스했어 ㅠㅠㅠ 사랑아 너무좋다
895,머야머야 꽃무늬 원피스 담이 너무 예쁘고 어르신 스윗해ㅋㅋ 그와중에 어르신 꼬리 ㅋㅋㅋ
896,뭐야 저 할배가 세계관 최강이라고 불리던 천존이야???
897,늘 완벽할것만 같던 유정이 저렇게 당황해하는거 너무 귀여운데 그 당황이 모두 설이를 위한거라 더 좋고 귀여워ㅜㅜ
898,와랄랄라 넘 예뻐서 혹시나햇다
899,그래도 남주연과의 일에서 유일한 사이다 장면
900,그래도 난 성윤이파(꿋꿋
901,진짜 매 회 매 회 미연시를 보는 맘으로 가슴 졸이며 보고 있습니다... 작가님 들숨에 재력을 날숨에 건강을...
902,새삼느끼는 백인하의 유정을보는시선 = 명품백
903,황요 아닌것같은데 작가님이 괜히 얼굴을 안그린게 아닐탠데.... 믿고싶다 황요야 살아남아라
904,아영아 사랑해!!!! 그리고 상하다 추철아!!!!!!!
905,율무기야...걱정마라...후속작인 '고수'에서 떡하니 살아나오고 주인공이라서 죽을 린 없어....
906,"너는 귀가 따가워? yo 난 입이 아파
유정 랩배틀 하면 다 이길 듯...ㄷㄷ"
907,이제 유정은 인호가 했던 말을 생각하겠지.. 설이 앞에서는 그러지 말라고
908,넌 또뭐얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
909,명영이는 역시 어릴때부터 저랬던거야...
910,히아의 장난끼는 세니카로부터 물려받은거구나ㅋㅋㅋㅋㅋㅋㅋ 히아 장난칠때 눈빛이랑 비슷했다ㅋㅋㅋ
911,인호가 진짜 사람을 좋아하는 방법을 아는 놈이지. 좋아하니까 같이 있고 싶을텐데도 본인 땜에 설이가 곤란할 상황은 피하려고 노력하는 모습이 너무 보기 좋고 짠해ㅠㅠㅠ 인호 행복해지는 거 사랑받는 거 보고싶다
912,"땀을 많이 흘렸네 
후준이 얼른 샤워해^^"
913,GM 그래서 여러모로 빠삭했구나.. 자기도 썼던거라
914,분위기가 사네요 확실히
915,요약:히아센은 잘생기고 귀엽고 착하고 머리도좋음
916,혹시 이삼정보고인가요? 교복이 저 동네에 있는 연혁 교복이랑 거의 비슷하네용! 잘하면 공주영 왕자림 포함한 애들 볼 수 있겠는데ㅋㅋㅋㅋ
917,아아아아아 히아ㅠㅠㅠㅠㅠㅠㅠ세니카...어머니가 되실수있었는데....
918,서로 조심스레 사랑하는 사랑이랑 여름이 너무 예뻐ㅠㅠㅜㅠ
919,루비는 이제 슬슬귀여워보일지경
920,어머님 내가 본 작품 속 귀족 중에 제일 엄중하고 현명하고 멋있고 다정해요
921,아ㅋㅋㅋㅋ다들 대리수치느끼는거 진짜ㅋㅋㅋㅋ
922,"
우리오파(于里烏播) 개귀여어(凱歸蠡魚) 
하고풍거(河鼓風去) 삭다해라(削多海蘿) 
매일이론(每日理論) 덕후마음(德厚馬音) 
주접이라(主楪伊亽) 할지라도(轄地羅道)
좌로인정(左虜人正) 우로인정(右虜人正) 
압구루기(狎鷗漏器) 대굴대굴(大窟大窟)

"
923,듀라한이 복면 같은 걸 쓰고 있는데 이번화 보니까 갑자기 교수형 시킬 때 얼굴에 천 씌우던 게 생각남. 근데 애초에 이 캐릭터가 도둑인데다가 시대적 배경이 몇년도인지는 모르겠지만 사형제 폐지나 다름없는 상황에서 현실성도 없으니까 ...
924,바네사누나 능력자라니깐... 안 해서 그렇지 ㅋㅋ
925,뱀파이어 수명만큼 오래 보고 싶은 웹툰
926,감동파괴 개뜬금 고백ㅋㅋㅋㅋ
927,진짜 문래빗 순위 좀 올라갔으면 좋겠다 ㄹㅇ꿀잼
928,근데 홍련이 저렇게 관심받는동안 자양은 어떻게 사나요... 이모는 우리 당당허고 자신감 넘쳤던 자양왕녀님이 보고 싶군요...
929,주건 요괴라니까 표정 바로 썩네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 커엽
930,작가님 적게일하시고 많이버세요
931,넘해 파양이라니ㅜㅠ그래도 덕분에 더 조은 쥬이니 만났넹!
932,랑또님 여자가슴 못그리시네ㅋㅋㅋ하고있었는데 남자였어...
933,의사들의 고뇌가 느껴지는 한 화였어요. 성적도 성적이지만 저는 누가 의사를 하라고 해도 못 했을 것 같아요...생명을 살리는 일을 하는 의사분들 항상 존경합니다
934,경환이 언급이 왜케 적지..... 경환이가 극호감인 상황연출은 적어도 꾸준히 호감임 ㅋㅋㅋ 불호는 아니라 항상 +인 캐릭터..
935,‘아씨 꼰대같은데 멋있어’ 랰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미친ㅋㅋㅋㅋㅋㅋ
936,집에 가스불 안끄고 나왔다
937,작가님...ㅜㅜㅜㅜ사일런 얼굴 감사합니다...감사합니다..... 진짜 그림 연출천재ㅜㅜㅜ
938,저렇게 각별하던 친구들이 지금은…. 참… 셋 다 합격할 수 있는 방법은 없나…? 하아….
939,이 길을 함께 걷고있는 쿠키용사들 계십니까?
940,"호도협(虎跳峽)은 호랑이가 협곡을 건너다 라는 뜻입니다
중국에 실제로 있는 지명이라고도 하는데 개인적으론 뜻이 상황에 잘 맞는다고 생각하네요"
941,너의 그 생각이 발판이 되어 네가 바라는 이상향에 닿을 수 있길 바라
942,이건 각이섰다 이건 노랭이선배가 남주다
943,"기억에 남을려곸ㅋㅋㅋㅋㅋㅋ
아메리카노엨ㅋㅋㅋㅋㄱ버블을ㅋㄱㅋㅋㄱㄱㄱㄱ"
944,미리보기 팍팍 올려주세용 작가님 쿠키 구웠단 말이에요 ㅠㅠ 
